date,expected_return_pct,stake_fraction,uncertainty_multiplier,n_fights,mean_absolute_decimal_change,movement_pct,pct_opening_ev
2024-06-22,0.3210603251864281,0.3224764909492126,0.6186099196617363,7,0.01510819496517419,8,16.62149542156777
2024-06-29,6.082043659117833,0.5270057127058153,0.8236513241692623,11,0.046978226980052634,8,59.18772700328868
2024-07-13,3.8355830653508387,0.37514310203503387,0.7874953892487272,10,0.023989596112036847,8,68.18667245279102
2024-07-20,8.382467802669053,0.7481979794499742,0.8178636824272445,7,0.017402070402056786,8,79.2953685612701
2024-07-27,5.751595721158495,0.6317491228749522,0.8449998959061048,10,0.0354102017909295,8,54.5898185677014
2024-08-03,9.88858845016883,0.9624494964320058,0.8071914854120762,11,0.016106584091287037,8,74.85051649139326
2024-08-10,0.8627968480625883,0.30302496298222203,0.6828651891710925,5,0.035707801713982044,8,19.69106180865991
2024-08-17,11.166906440235788,0.6483757697843068,0.8718362394718753,10,0.019197426341381586,8,66.26914331294863
2024-08-24,1.095845935020879,0.35990864996997846,0.6618486091436828,5,0.06422277014109903,8,16.140840473839766
2024-09-07,6.397928146664202,0.7046686118786258,0.8377977244427097,7,0.05609119655787698,8,93.22578616528334
2024-09-14,4.731654273033102,0.7036088078086572,0.7427947453808013,10,0.03182705580600489,8,54.2813493492083
2024-09-28,3.2524808218504417,0.29450844406979854,0.8163330629784464,10,0.02090961315102563,8,92.27669195635208
2024-10-05,15.022191982273108,1.0,0.855049198965391,12,0.03222425453075786,8,94.24638364212143
2024-10-12,10.273470607557453,1.0,0.854645279095988,8,0.01673563651861526,8,71.51285811468976
2024-10-19,5.6871406594218685,0.3871346072441657,0.7927307885393426,9,0.02541208978395014,8,57.58161221448319
2024-10-26,9.339620283593575,1.0,0.8174430088634819,9,0.03453501702553704,8,52.61381903083853
2024-11-02,4.0515665360251605,0.620258318870636,0.7551561706548094,10,0.027394185060519306,8,48.1570402678396
2024-11-09,3.8860295379361447,0.42745784019226346,0.7690362726003613,6,0.02281544596579384,8,61.20201676392017
2024-11-16,2.871158247535126,0.5916251419413988,0.7341168905054131,11,0.03701010006647942,8,31.831697867118788
2024-11-23,0.0,0.0,0.0,3,0.039436625633507694,8,
2024-12-07,9.250622366262034,0.8416097768019535,0.8145712384194557,13,0.023820117842114626,8,104.35563055458573
2024-12-14,6.050328645143336,0.63280297213696,0.8627431111694545,10,0.035729322082596084,8,55.30280895628852
2025-01-11,0.2567309866379315,0.21019817410356226,0.5923125867962524,9,0.03237206906901486,8,22.836531316652653
2025-01-18,4.230769537440659,0.5157512437855041,0.7909885940855363,10,0.047261148773795024,8,54.75157732044161
2025-02-01,10.619529999437376,0.8752052309566362,0.788676976785477,9,0.03466334608121798,8,76.5442173907845
2025-02-08,6.721424825980282,0.4982654421669201,0.8402734025064211,5,0.023798962005410186,8,66.03365145646798
2025-02-15,7.20921233491084,0.9890559527879259,0.7865366134325381,10,0.04181634699345329,8,54.0004997506082
2025-02-22,2.701414002635236,0.35674914077245634,0.7314604918521393,8,0.017289006132092014,8,50.034487480983046
2025-03-01,5.4363825740248055,0.4279492972681021,0.8547353714624581,7,0.02129151507202284,8,70.33796290934129
2025-03-08,6.727162281940408,0.42250528856978725,0.8619707287090552,8,0.017449871798576044,8,70.58055036578466
2025-03-15,12.448432436516121,0.8450241464738993,0.8512352162956441,8,0.017339726969281738,8,91.33517965029586
2025-03-22,1.8411188086963501,0.31525159784256707,0.7752310972901612,8,0.018598980478421887,8,41.69346922929608
