event_number,date,target_pct_opening_ev,p025_bankroll,median_bankroll,p95_bankroll,p975_bankroll,mean_bankroll,fraction_below_floor
51,2025-07-19,70,4983.328316709249,7260.735702630018,11406.680959518168,12281.748726497097,7704.312261503105,0.0
52,2025-07-26,70,4983.328316709249,7260.735702630018,11406.680959518168,12281.748726497097,7704.312261503105,0.0
53,2025-08-02,70,7066.712445642927,10274.316087620537,16137.524241253876,17397.063174644827,10900.624647001105,0.0
54,2025-08-09,70,7066.712445642927,10274.316087620537,16137.524241253876,17397.063174644827,10900.624647001105,0.0
55,2025-08-16,70,5957.060618289997,8704.772424852956,13686.044111052177,14671.899051371016,9213.177311867063,0.0
56,2025-08-23,70,5957.060618289997,8704.772424852956,13686.044111052177,14671.899051371016,9213.177311867063,0.0
57,2025-09-06,70,5749.052255586286,8396.117511757995,13189.265338421348,14147.168550184098,8883.882182829397,0.0
58,2025-09-13,70,5749.052255586286,8396.117511757995,13189.265338421348,14147.168550184098,8883.882182829397,0.0
59,2025-09-27,70,6431.192809721279,9381.14096898196,14838.714280322985,15958.104539250811,9919.539680232789,0.0
60,2025-10-04,70,7528.500819173952,11007.266842081712,17377.89632809288,18684.549557836595,11634.728849499308,0.0
61,2025-10-11,70,7598.936943201868,11116.674401576502,17550.981044622087,18926.337687758296,11754.636857315398,0.0
62,2025-10-18,70,7103.04647309309,10443.910819665089,16503.19287191729,17864.60365941189,11046.30748844216,0.0
63,2025-10-25,70,5784.103711851541,8587.920194351693,13534.82484028604,14719.330479755448,9079.931686633423,0.0
64,2025-11-01,70,7162.712737090351,10664.128709649494,16796.356682172154,18315.654742767038,11268.804478844086,0.0
65,2025-11-08,70,7162.712737090351,10664.128709649494,16796.356682172154,18315.654742767038,11268.804478844086,0.0
66,2025-11-15,70,9114.57967620533,13534.079258976242,21294.65729290114,23369.02016755646,14325.99499362816,0.0
67,2025-11-22,70,10341.684846495345,15484.872153247843,24428.977128876533,26717.040483337463,16391.89070348472,0.0
68,2025-12-06,70,8274.68454543526,12548.502419900087,20053.15282050034,21975.55240910417,13280.181501872356,0.0
69,2025-12-13,70,8123.723145195097,12321.653306633198,19669.10791021514,21422.370301950472,13041.313991313194,0.0
70,2026-01-24,70,7868.513979566358,11958.032113369109,19105.083654924973,20839.193261136952,12649.12669930235,0.0
71,2026-01-31,70,9428.184347928986,14407.487522134197,23036.196873041255,24952.64486188846,15226.676911794812,0.0
72,2026-02-07,70,9428.184347928986,14407.487522134197,23036.196873041255,24952.64486188846,15226.676911794812,0.0
73,2026-02-21,70,9739.555433551934,14816.206713180332,23853.746953154223,25738.574045401714,15664.693681629562,0.0
0,start,80,500.0,500.0,500.0,500.0,500.0,0.0
