,choice_fighter_name,parlay_fstar_sum,parlay_net_odds,choice_fstar,choice_ev,choice_real_odds,date,winner,pred_winner,choice_proba,parlay_prob,parlay_ev,parlay_avg_edge
6,chris weidman,0.15506263788471986,-1.0,0.06922498859277103,0.1191125205256055,1.869565217391304,2024-12-07,0.0,1,0.5985950691183473,0.4047274475635782,0.2679240601697994,0.07153304564207125
2,vitor petrino,0.18091128970270576,-1.0,0.13242710188200268,0.08403729584181382,1.2857142857142856,2024-12-14,0.0,1,0.8431401189880775,0.43302099824744206,0.0628697229709938,0.027567058614631323
5,davey grant,0.18091128970270576,-1.0,0.04848418782070306,-0.01952660941834322,1.9090909090909087,2024-12-14,1.0,1,0.513581299828487,0.43302099824744206,0.0628697229709938,0.027567058614631323
4,cesar almeida,0.19566486989886084,-1.0,0.11114912244455837,0.06146048986772057,1.3636363636363638,2025-01-11,1.0,1,0.7784043592363283,0.5174345899211896,0.09758852407525098,0.03347570576573616
2,jose johnson,0.19566486989886084,-1.0,0.08451574745430249,0.034036155422075665,1.5555555555555556,2025-01-11,0.0,1,0.6647375284856201,0.5174345899211896,0.09758852407525098,0.03347570576573616
5,grant dawson,0.20666111564044268,1.2124582869855391,0.13031991383542624,0.1094173451580655,1.3448275862068966,2025-01-18,1.0,1,0.8249513592201,0.5243064289734038,0.1600061037020024,0.054539447143913455
0,reinier de ridder,0.20666111564044268,1.2124582869855391,0.07634120180501644,0.045599393920354836,1.6451612903225803,2025-01-18,0.0,0,0.6355604159123727,0.5243064289734038,0.1600061037020024,0.054539447143913455
8,fares ziam,0.17145049448894745,1.75625,0.057922373238411526,0.0685674031379142,2.1,2025-02-01,1.0,1,0.5088416205418639,0.39714958022198255,0.09464353048683938,0.025621909281261068
5,sergei pavlovich,0.17145049448894745,1.75625,0.11352812125053592,0.02440288490211387,1.3125,2025-02-01,1.0,1,0.7804974361158963,0.39714958022198255,0.09464353048683938,0.025621909281261068
0,tom nolan,0.18650172925462388,1.807127882599581,0.0671452340441278,0.12083517542205968,1.9433962264150944,2025-02-08,1.0,1,0.5767404300715453,0.44370074083674754,0.24552472113292456,0.06959723700138348
