,choice_fighter_name,parlay_fstar_sum,parlay_net_odds,choice_fstar,choice_ev,choice_real_odds,date,winner,pred_winner,choice_proba,parlay_prob,parlay_ev,parlay_avg_edge,fstar_net,choice_decimal_odds
9,dricus du plessis,0.24977593214461657,3.5617391304347814,0.1068084507800016,0.457231154052097,2.44,2024-08-17,1.0,1,0.5972258828082365,0.4142360308929374,0.8896367113603036,0.17305318091356353,0.1068084507800016,2.44
0,valter walker,0.24977593214461657,3.5617391304347814,0.11606341016072778,0.29673093119497485,1.869565217391304,2024-08-17,0.0,0,0.6936002655228937,0.4142360308929374,0.8896367113603036,0.17305318091356353,0.11606341016072778,1.869565217391304
4,edmen shahbazyan,0.16051955655174974,-1.0,0.11763290398681248,0.1540528706573544,1.6756756756756757,2024-08-24,0.0,1,0.6887089711987437,0.4570180805214576,0.29396172285572053,0.08184234756631653,-0.11763290398681248,1.6756756756756757
3,caio borralho,0.16051955655174974,-1.0,0.10750244390760282,0.12123261919419126,1.6896551724137931,2024-08-24,0.0,0,0.663586652176154,0.4570180805214576,0.29396172285572053,0.08184234756631653,0.10750244390760282,1.6896551724137931
3,steve garcia,0.09690772442919371,-1.0,0.10615523125787434,0.10511983386610535,1.6666666666666663,2024-09-07,1.0,1,0.6630719003196633,0.38073672532287584,0.2114350351182408,0.05673182179068226,0.10615523125787434,1.6666666666666663
0,trevor peek,0.09690772442919371,-1.0,0.09103060718576823,0.09620241895415704,1.9090909090909087,2024-09-07,0.0,1,0.5742012670712252,0.38073672532287584,0.2114350351182408,0.05673182179068226,-0.09103060718576823,1.9090909090909087
8,norma dumont,0.13972272941682526,2.055555555555555,0.10189992488169443,0.17097418942439158,1.8333333333333333,2024-09-14,0.0,0,0.6387131942314863,0.42126801797131885,0.2872078326901406,0.07640802770631688,0.10189992488169443,1.8333333333333333
4,diego lopes,0.13972272941682526,2.055555555555555,0.10763019507013155,0.09926234439282156,1.6666666666666663,2024-09-14,0.0,0,0.6595574066356931,0.42126801797131885,0.2872078326901406,0.07640802770631688,0.10763019507013155,1.6666666666666663
8,fares ziam,0.13795398986214372,1.6442028985507244,0.08909253154753982,0.2079643616688226,2.05,2024-09-28,1.0,1,0.589250908131133,0.4639675535755561,0.22682434999797385,0.05677525845522144,0.08909253154753982,2.05
6,taylor lapilus,0.13795398986214372,1.6442028985507244,0.12456502706090675,0.015613033734783233,1.289855072463768,2024-09-28,1.0,1,0.7873853857044949,0.4639675535755561,0.22682434999797385,0.05677525845522144,0.12456502706090675,1.289855072463768
