,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,fstar_net,choice_decimal_odds,parlay_strategy
1,edmen shahbazyan,0.0,-0.01708480805410592,1.2857142857142856,0.0,1,0.7644895937356955,0.5199606550744157,-0.027606047653040866,2024-08-24,0.0,0.0,1.2857142857142856,top_ev
2,caio borralho,0.0,-0.04846721255858091,1.2857142857142856,0.0,0,0.7400810568988816,0.5199606550744157,-0.027606047653040866,2024-08-24,0.0,0.0,1.2857142857142856,top_ev
3,tabatha ricci,0.0,-0.11820068150125052,1.5208333333333337,0.0,0,0.5798132505197255,0.5199606550744157,-0.027606047653040866,2024-08-24,0.0,0.0,1.5208333333333337,top_ev
4,michael morales,0.0,-0.09945876554152071,1.1,0.0,0,0.8186738495077084,0.5199606550744157,-0.027606047653040866,2024-08-24,0.0,0.0,1.1,top_ev
1,jaqueline amorim,0.029166585065410037,0.12613576410966854,1.3278688524590163,0.9180327868852458,1,0.8480775507492566,0.5991351623425055,0.14916088514874004,2024-09-07,1.0,0.029166585065410037,1.3278688524590163,top_ev
5,steve garcia,0.029166585065410037,0.020446132493869673,1.4444444444444444,0.9180327868852458,1,0.7064627071111406,0.5991351623425055,0.14916088514874004,2024-09-07,1.0,0.029166585065410037,1.4444444444444444,top_ev
3,merab dvalishvili,0.014813551301513085,0.09008785625067023,1.8333333333333333,2.191358024691358,0,0.5945933761367292,0.34607090415874925,0.10443615709921827,2024-09-14,0.0,0.014813551301513085,1.8333333333333333,top_ev
8,norma dumont,0.014813551301513085,0.013162517834019893,1.7407407407407407,2.191358024691358,0,0.582029531521671,0.34607090415874925,0.10443615709921827,2024-09-14,0.0,0.014813551301513085,1.7407407407407407,top_ev
9,fares ziam,0.020841530699564084,0.05293376141346401,1.7575757575757576,1.1969696969696968,1,0.5990830021835226,0.470494584154173,0.03366234397507695,2024-09-28,1.0,0.020841530699564084,1.7575757575757576,top_ev
2,taylor lapilus,0.020841530699564084,-0.018302592380091354,1.25,1.1969696969696968,1,0.7853579260959269,0.470494584154173,0.03366234397507695,2024-09-28,1.0,0.020841530699564084,1.25,top_ev
11,carla esparza,0.015115384380865161,0.20376161889746802,2.35,-1,1,0.51223898676488,0.3698230501695211,0.3147683565642079,2024-10-05,0.0,-0.015115384380865161,2.35,top_ev
