,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,parlay_strategy,fstar_net,choice_decimal_odds
3,merab dvalishvili,0.06385643216824634,0.2512008981124271,2.05,2.9136363636363627,0,0.6103419015182572,0.36390556926957573,0.4241940688232029,2024-09-14,0.0,top_ev,0.06385643216824634,2.05
8,norma dumont,0.06385643216824634,0.1382617059912239,1.9090909090909087,2.9136363636363627,0,0.5962323221858793,0.36390556926957573,0.4241940688232029,2024-09-14,0.0,top_ev,0.06385643216824634,1.9090909090909087
9,fares ziam,0.055075601863578065,0.0979168846484404,1.8333333333333333,1.3805970149253728,1,0.5988637552627857,0.46924664519334636,0.11708716281102594,2024-09-28,1.0,top_ev,0.055075601863578065,1.8333333333333333
2,taylor lapilus,0.055075601863578065,0.01746059144424586,1.2985074626865671,1.3805970149253728,1,0.7835616049053388,0.46924664519334636,0.11708716281102594,2024-09-28,1.0,top_ev,0.055075601863578065,1.2985074626865671
11,carla esparza,0.05645115088393094,0.3353498416539461,2.55,-1.0,1,0.523666604570175,0.35669282375014355,0.5241387955377754,2024-10-05,0.0,top_ev,-0.05645115088393094,2.55
10,raquel pennington,0.05645115088393094,0.14137789813192164,1.6756756756756757,-1.0,1,0.6811448746916307,0.35669282375014355,0.5241387955377754,2024-10-05,0.0,top_ev,-0.05645115088393094,1.6756756756756757
6,julia polastri,0.07857022360523319,0.16360878986660976,1.925925925925926,-1.0,1,0.6041814870461243,0.43621915788104193,0.32019766300505803,2024-10-12,1.0,top_ev,-0.07857022360523319,1.925925925925926
1,jonathan pearce,0.07857022360523319,0.13457175169362456,1.5714285714285714,-1.0,1,0.7220002056232157,0.43621915788104193,0.32019766300505803,2024-10-12,0.0,top_ev,-0.07857022360523319,1.5714285714285714
4,anthony hernandez,0.08802670183948944,0.18894194507109402,1.6896551724137931,1.8313140726933832,1,0.7036595185114638,0.487738107744209,0.3809397682450206,2024-10-19,1.0,top_ev,0.08802670183948944,1.6896551724137931
5,darren elkins,0.08802670183948944,0.1614862895281618,1.6756756756756757,1.8313140726933832,1,0.6931450437506772,0.487738107744209,0.3809397682450206,2024-10-19,1.0,top_ev,0.08802670183948944,1.6756756756756757
