,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,fstar_net,choice_decimal_odds,parlay_strategy
2,caio borralho,0.05655738364260623,0.1084893522688411,1.6896551724137931,-1,0,0.6560447186897223,0.4429973349817951,0.2542645886996213,2024-08-24,0.0,-0.05655738364260623,1.6896551724137931,top_ev
5,steve garcia,0.04956872808699624,0.09812143014726449,1.6666666666666663,-1,1,0.6588728580883588,0.3749015287984422,0.19286850072231543,2024-09-07,1.0,-0.04956872808699624,1.6666666666666663,top_ev
0,trevor peek,0.04956872808699624,0.08628105050490187,1.9090909090909087,-1,1,0.569004359788282,0.3749015287984422,0.19286850072231543,2024-09-07,0.0,-0.04956872808699624,1.9090909090909087,top_ev
8,norma dumont,0.04468385414192968,0.15176421472581636,1.8333333333333333,2.055555555555555,0,0.6282350262140817,0.4087385646759284,0.24892339206533642,2024-09-14,0.0,0.04468385414192968,1.8333333333333333,top_ev
4,diego lopes,0.04468385414192968,0.0843568293729714,1.6666666666666663,2.055555555555555,0,0.650614097623783,0.4087385646759284,0.24892339206533642,2024-09-14,0.0,0.04468385414192968,1.6666666666666663,top_ev
9,fares ziam,0.05456891992793078,0.21552920585227342,2.05,1.9611111111111108,1,0.5929410760254993,0.4202140896686136,0.24430060996317238,2024-09-28,1.0,0.05456891992793078,2.05,top_ev
6,jacqueline cavalcanti,0.05456891992793078,0.023669858340199967,1.4444444444444444,1.9611111111111108,0,0.7086945173124461,0.4202140896686136,0.24430060996317238,2024-09-28,0.0,0.05456891992793078,1.4444444444444444,top_ev
3,iasmin lucindo,0.028623082403483283,0.28932007933841974,1.8333333333333333,2.055555555555555,0,0.7032654978209563,0.4909691888996249,0.5001836327488536,2024-10-05,0.0,0.028623082403483283,1.8333333333333333,top_ev
2,joaquin buckley,0.028623082403483283,0.16354631932718566,1.6666666666666663,2.055555555555555,0,0.6981277915963116,0.4909691888996249,0.5001836327488536,2024-10-05,0.0,0.028623082403483283,1.6666666666666663,top_ev
4,tatsuro taira,0.04977800206937619,0.18669813269890195,1.5128205128205128,-1,0,0.7844275792416471,0.6531516225546263,0.3474106898854179,2024-10-12,1.0,-0.04977800206937619,1.5128205128205128,top_ev
7,themba gorimbo,0.04977800206937619,0.1354283391522731,1.3636363636363638,-1,1,0.8326474487116668,0.6531516225546263,0.3474106898854179,2024-10-12,1.0,-0.04977800206937619,1.3636363636363638,top_ev
5,darren elkins,0.045902248879785494,0.2860039601254918,2.24,2.55764705882353,1,0.5741089107703088,0.4159821689982539,0.4799177400596706,2024-10-19,1.0,0.045902248879785494,2.24,top_ev
4,anthony hernandez,0.045902248879785494,0.15078785598393973,1.5882352941176472,2.55764705882353,1,0.7245701315454435,0.4159821689982539,0.4799177400596706,2024-10-19,1.0,0.045902248879785494,1.5882352941176472,top_ev
5,ismail naurdiev,0.020755162147003535,0.34337719943776523,2.24,2.55764705882353,1,0.5997219640347166,0.46199875610095753,0.6436285158227009,2024-10-26,1.0,0.020755162147003535,2.24,top_ev
1,lerone murphy,0.020755162147003535,0.22350484771559165,1.5882352941176472,2.55764705882353,1,0.7703549041172243,0.46199875610095753,0.6436285158227009,2024-10-26,1.0,0.020755162147003535,1.5882352941176472,top_ev
3,aiemann zahabi,0.039678660705207924,0.24551226641457224,2.15,3.3,1,0.5793080308904988,0.3476204670514362,0.4947680083211754,2024-11-02,1.0,0.039678660705207924,2.15,top_ev
7,charles jourdain,0.039678660705207924,0.20012307275313312,2.0,3.3,1,0.6000615363765666,0.3476204670514362,0.4947680083211754,2024-11-02,1.0,0.039678660705207924,2.0,top_ev
0,tresean gore,0.08074889201558842,0.08092529611445143,1.5714285714285714,0.9455782312925167,1,0.6878615520728327,0.5795639404410098,0.12758698616414121,2024-11-09,1.0,0.08074889201558842,1.5714285714285714,top_ev
4,denise gomes,0.08074889201558842,0.04316828389290392,1.238095238095238,0.9455782312925167,0,0.842558998528884,0.5795639404410098,0.12758698616414121,2024-11-09,0.0,0.08074889201558842,1.238095238095238,top_ev
3,jonathan martinez,0.03468754162884547,0.12584789153387876,2.24,-1,1,0.5026106658633387,0.25632944351143727,0.263191497624363,2024-11-16,0.0,-0.03468754162884547,2.24,top_ev
10,mickey gall,0.03468754162884547,0.12199126287243345,2.2,-1,1,0.5099960285783788,0.25632944351143727,0.263191497624363,2024-11-16,0.0,-0.03468754162884547,2.2,top_ev
0,petr yan,0.0,-0.05634243224373925,1.3846153846153846,0.0,1,0.6815304656017439,0.48157981912499204,-0.08157346541329547,2024-11-23,1.0,0.0,1.3846153846153846,top_ev
1,carlos ulberg,0.0,-0.026737488292016942,1.3773584905660377,0.0,0,0.7066152482263439,0.48157981912499204,-0.08157346541329547,2024-11-23,0.0,0.0,1.3773584905660377,top_ev
2,wang cong,0.0,-0.092642964898493,1.1821493624772312,0.0,1,0.7675485551166832,0.48157981912499204,-0.08157346541329547,2024-11-23,0.0,0.0,1.1821493624772312,top_ev
12,chris weidman,0.03333452894541424,0.18737054781816687,2.0,-1,1,0.5936852739090834,0.47085763146143905,0.3511566815849989,2024-12-07,0.0,-0.03333452894541424,2.0,top_ev
9,movsar evloev,0.03333452894541424,0.13794020246484512,1.434782608695652,-1,1,0.7931098380815588,0.47085763146143905,0.3511566815849989,2024-12-07,1.0,-0.03333452894541424,1.434782608695652,top_ev
1,vitor petrino,0.040608505192681624,0.18162100677050452,1.4,-1,1,0.8440150048360747,0.47400982322389773,0.2956268501453203,2024-12-14,0.0,-0.040608505192681624,1.4,top_ev
2,joaquin buckley,0.040608505192681624,0.09648258005027,1.9523809523809523,-1,0,0.5616130288062359,0.47400982322389773,0.2956268501453203,2024-12-14,0.0,-0.040608505192681624,1.9523809523809523,top_ev
0,roman kopylov,0.07340002715066575,0.033271527722410876,1.4444444444444444,0.7843137254901962,0,0.715341826884746,0.5927052779807669,0.0575721626715644,2025-01-11,0.0,0.07340002715066575,1.4444444444444444,top_ev
7,nurullo aliev,0.07340002715066575,0.02351815016399239,1.2352941176470589,0.7843137254901962,1,0.8285623120375176,0.5927052779807669,0.0575721626715644,2025-01-11,1.0,0.07340002715066575,1.2352941176470589,top_ev
0,reinier de ridder,0.03733947583859132,0.15280935224069336,2.24,1.9916778523489933,0,0.5146470322503095,0.434503507992909,0.2998945216303297,2025-01-18,0.0,0.03733947583859132,2.24,top_ev
8,grant dawson,0.03733947583859132,0.12758845953474407,1.3355704697986577,1.9916778523489933,1,0.8442747762345572,0.434503507992909,0.2998945216303297,2025-01-18,1.0,0.03733947583859132,1.3355704697986577,top_ev
