iter	Passed	Remaining
1200	23997	5974
1201	24018	5954
1202	24037	5934
1203	24057	5914
1204	24074	5893
1205	24094	5873
1206	24113	5853
1207	24132	5833
1208	24151	5813
1209	24171	5793
1210	24191	5773
1211	24210	5752
1212	24229	5732
1213	24249	5712
1214	24268	5692
1215	24288	5672
1216	24307	5652
1217	24326	5632
1218	24345	5612
1219	24364	5591
1220	24382	5571
1221	24401	5551
1222	24421	5531
1223	24438	5510
1224	24457	5490
1225	24475	5470
1226	24494	5449
1227	24513	5429
1228	24532	5409
1229	24552	5389
1230	24571	5369
1231	24590	5349
1232	24609	5329
1233	24629	5309
1234	24648	5288
1235	24666	5268
1236	24685	5248
1237	24704	5228
1238	24724	5208
1239	24743	5188
1240	24761	5167
1241	24780	5147
1242	24797	5127
1243	24816	5107
1244	24836	5086
1245	24854	5066
1246	24873	5046
1247	24892	5026
1248	24910	5006
1249	24932	4986
1250	24951	4966
1251	24969	4946
1252	24989	4926
1253	25007	4905
1254	25027	4885
1255	25046	4865
1256	25067	4845
1257	25085	4825
1258	25105	4805
1259	25126	4786
1260	25145	4765
1261	25164	4745
1262	25186	4726
1263	25203	4705
1264	25223	4685
1265	25243	4665
1266	25263	4645
1267	25283	4625
1268	25301	4605
1269	25321	4585
1270	25339	4565
1271	25358	4545
1272	25377	4525
1273	25395	4505
1274	25413	4484
1275	25432	4464
1276	25452	4444
1277	25470	4424
1278	25491	4404
1279	25509	4384
1280	25528	4364
1281	25547	4344
1282	25566	4324
1283	25586	4304
1284	25604	4284
1285	25624	4264
1286	25643	4244
1287	25662	4223
1288	25680	4203
1289	25700	4183
1290	25720	4163
1291	25739	4143
1292	25758	4123
1293	25777	4103
1294	25795	4083
1295	25815	4063
1296	25833	4043
1297	25853	4023
1298	25873	4003
1299	25891	3983
1300	25909	3963
1301	25929	3943
1302	25948	3923
1303	25966	3903
1304	25985	3882
1305	26004	3862
1306	26023	3842
1307	26043	3822
1308	26061	3802
1309	26079	3782
1310	26098	3762
1311	26117	3742
1312	26139	3722
1313	26158	3702
1314	26176	3682
1315	26195	3662
1316	26214	3642
1317	26233	3622
1318	26253	3602
1319	26271	3582
1320	26289	3562
1321	26309	3542
1322	26328	3522
1323	26347	3502
1324	26367	3482
1325	26386	3462
1326	26405	3442
1327	26424	3422
1328	26443	3402
1329	26464	3382
1330	26485	3362
1331	26505	3343
1332	26525	3323
1333	26545	3303
1334	26565	3283
1335	26584	3263
1336	26602	3243
1337	26622	3223
1338	26643	3203
1339	26662	3183
1340	26683	3163
1341	26701	3143
1342	26721	3123
1343	26741	3103
1344	26759	3083
1345	26778	3063
1346	26796	3043
1347	26817	3023
1348	26835	3003
1349	26855	2983
1350	26874	2963
1351	26893	2943
1352	26911	2923
1353	26931	2903
1354	26950	2883
1355	26968	2863
1356	26986	2843
1357	27005	2823
1358	27026	2804
1359	27046	2784
1360	27064	2764
1361	27085	2744
1362	27106	2724
1363	27125	2704
1364	27145	2684
1365	27180	2666
1366	27203	2646
1367	27226	2627
1368	27246	2607
1369	27269	2587
1370	27290	2567
1371	27311	2547
1372	27331	2528
1373	27351	2508
1374	27373	2488
1375	27391	2468
1376	27412	2448
1377	27433	2428
1378	27454	2409
1379	27475	2389
1380	27495	2369
1381	27516	2349
1382	27537	2329
1383	27559	2309
1384	27579	2290
1385	27600	2270
1386	27619	2250
1387	27639	2230
1388	27659	2210
1389	27679	2190
1390	27699	2170
1391	27720	2150
1392	27740	2130
1393	27760	2110
1394	27780	2090
1395	27800	2071
1396	27821	2051
1397	27841	2031
1398	27863	2011
1399	27883	1991
1400	27905	1971
1401	27926	1952
1402	27946	1932
1403	27968	1912
1404	27989	1892
1405	28009	1872
1406	28030	1852
1407	28050	1832
1408	28071	1812
1409	28091	1793
1410	28112	1773
1411	28133	1753
1412	28153	1733
1413	28173	1713
1414	28194	1693
1415	28214	1673
1416	28234	1653
1417	28257	1634
1418	28277	1614
1419	28298	1594
1420	28318	1574
1421	28339	1554
1422	28359	1534
1423	28379	1514
1424	28399	1494
1425	28420	1474
1426	28442	1455
1427	28462	1435
1428	28482	1415
1429	28502	1395
1430	28523	1375
1431	28544	1355
1432	28569	1335
1433	28592	1315
1434	28612	1296
1435	28633	1276
1436	28655	1256
1437	28678	1236
1438	28698	1216
1439	28719	1196
1440	28740	1176
1441	28760	1156
1442	28781	1136
1443	28801	1116
1444	28821	1097
1445	28842	1077
1446	28863	1057
1447	28885	1037
1448	28907	1017
1449	28927	997
1450	28948	977
1451	28969	957
1452	28988	937
1453	29009	917
1454	29031	897
1455	29051	877
1456	29071	857
1457	29092	838
1458	29111	818
1459	29131	798
1460	29151	778
1461	29172	758
1462	29192	738
1463	29212	718
1464	29232	698
1465	29256	678
1466	29276	658
1467	29296	638
1468	29317	618
1469	29337	598
1470	29357	578
1471	29379	558
1472	29398	538
1473	29421	518
1474	29444	499
1475	29465	479
1476	29485	459
1477	29506	439
1478	29527	419
1479	29550	399
1480	29569	379
1481	29589	359
1482	29610	339
1483	29632	319
1484	29653	299
1485	29674	279
1486	29694	259
1487	29717	239
1488	29738	219
1489	29758	199
1490	29779	179
1491	29799	159
1492	29819	139
1493	29839	119
1494	29861	99
1495	29882	79
1496	29903	59
1497	29923	39
1498	29944	19
1499	29964	0
