event_number,date,target_pct_opening_ev,p025_bankroll,median_bankroll,p95_bankroll,p975_bankroll,mean_bankroll,fraction_below_floor
3,2024-06-01,60,550.9822255341714,552.4307513346374,554.2501408800937,554.6154149802785,552.5120547702016,0.0
4,2024-06-08,60,550.9822255341714,552.4307513346374,554.2501408800937,554.6154149802785,552.5120547702016,0.0
5,2024-06-15,60,615.6072583068246,617.5282688642285,619.5180847225068,620.1094304797117,617.5763912519733,0.0
6,2024-06-22,60,638.6079308047488,644.9343083540368,647.3055674231364,647.9316065263091,643.8909813174411,0.0
7,2024-06-29,60,731.8143861436298,739.163530800819,741.941067947831,742.6322796107978,737.9589524917224,0.0
8,2024-07-13,60,689.9601436364105,697.0976608402199,700.8694659249177,701.4331350325563,696.2935228261438,0.0
9,2024-07-20,60,689.9601436364105,697.0976608402199,700.8694659249177,701.4331350325563,696.2935228261438,0.0
10,2024-07-27,60,600.1944743117339,775.2415402143099,781.937763836845,782.6691101691739,722.756401435807,0.0
11,2024-08-03,60,600.1944743117339,775.2415402143099,781.937763836845,782.6691101691739,722.756401435807,0.0
12,2024-08-10,60,659.7022626959226,856.7663639252421,868.4317980751126,869.4493911055857,799.9610264355002,0.0
13,2024-08-17,60,659.7022626959226,856.7663639252421,868.4317980751126,869.4493911055857,799.9610264355002,0.0
14,2024-08-24,60,595.9400799532665,774.1035871578677,787.5052665127386,951.2995467705708,731.3480424119581,0.0
15,2024-09-07,60,595.9400799532665,774.1035871578677,787.5052665127386,951.2995467705708,731.3480424119581,0.0
16,2024-09-14,60,595.9400799532665,774.1035871578677,787.5052665127386,951.2995467705708,731.3480424119581,0.0
17,2024-09-28,60,595.9400799532665,774.1035871578677,787.5052665127386,951.2995467705708,731.3480424119581,0.0
18,2024-10-05,60,595.9400799532665,774.1035871578677,787.5052665127386,951.2995467705708,731.3480424119581,0.0
19,2024-10-12,60,545.1632553671113,708.229863358333,720.5309669851287,869.8231275941955,669.0365637713364,0.0
20,2024-10-19,60,545.1632553671113,708.229863358333,720.5309669851287,869.8231275941955,669.0365637713364,0.0
21,2024-10-26,60,586.2793999325687,764.2323735448188,797.4692069516511,937.3022536778425,721.2942342582908,0.0
22,2024-11-02,60,668.9504704436305,872.1277263439744,910.1401294911087,1069.8078664444583,823.2158482818877,0.0
23,2024-11-09,60,715.0437630157587,932.2026045910297,973.1281523644037,1143.1879725264932,879.9751144688191,0.0
24,2024-11-16,60,670.64599968812,874.9714616738639,915.1787544580073,1072.8262273156129,826.7485916478151,0.0
25,2024-11-23,60,670.64599968812,874.9714616738639,915.1787544580073,1072.8262273156129,826.7485916478151,0.0
26,2024-12-07,60,670.64599968812,874.9714616738639,915.1787544580073,1072.8262273156129,826.7485916478151,0.0
27,2024-12-14,60,670.64599968812,874.9714616738639,915.1787544580073,1072.8262273156129,826.7485916478151,0.0
28,2025-01-11,60,688.1604672237944,897.7294934107297,939.0570607409836,1101.0180870453257,848.2698940232508,0.0
29,2025-01-18,60,688.1604672237944,897.7294934107297,939.0570607409836,1101.0180870453257,848.2698940232508,0.0
30,2025-02-01,60,688.1604672237944,897.7294934107297,939.0570607409836,1101.0180870453257,848.2698940232508,0.0
31,2025-02-08,60,688.1604672237944,897.7294934107297,939.0570607409836,1101.0180870453257,848.2698940232508,0.0
32,2025-02-15,60,688.1604672237944,897.7294934107297,939.0570607409836,1101.0180870453257,848.2698940232508,0.0
33,2025-02-22,60,772.5952969287805,1008.4057638917225,1054.705392475246,1236.94860026076,952.7748685541544,0.0
34,2025-03-01,60,772.5952969287805,1008.4057638917225,1054.705392475246,1236.94860026076,952.7748685541544,0.0
35,2025-03-08,60,772.5952969287805,1008.4057638917225,1054.705392475246,1236.94860026076,952.7748685541544,0.0
36,2025-03-15,60,772.5952969287805,1008.4057638917225,1054.705392475246,1236.94860026076,952.7748685541544,0.0
37,2025-03-22,60,714.5759823518954,932.6205481806843,975.5470648722941,1143.6419631026727,881.2398111032298,0.0
38,2025-03-29,60,714.5759823518954,932.6205481806843,975.5470648722941,1143.6419631026727,881.2398111032298,0.0
39,2025-04-05,60,741.2012240945545,967.3213487960968,1011.7710294229014,1186.0540334035186,914.0417679993843,0.0
40,2025-04-12,60,680.3667359059982,890.5655536350905,939.7635463832557,1094.7272732077117,845.3059986682471,0.0
41,2025-04-26,60,724.4768289497811,948.4399345757863,1001.4313103631691,1166.4557863552802,900.3322807980817,0.0
42,2025-05-03,60,724.4768289497811,948.4399345757863,1001.4313103631691,1166.4557863552802,900.3322807980817,0.0
43,2025-05-10,60,802.1676753188339,1050.3751211485605,1109.2185675725048,1292.0604871031114,997.1098322998338,0.0
44,2025-05-17,60,802.1676753188339,1050.3751211485605,1109.2185675725048,1292.0604871031114,997.1098322998338,0.0
45,2025-05-31,60,773.6791921145604,1013.0000370282255,1069.8522062657032,1246.6589090768264,961.6519168174449,0.0
46,2025-06-07,60,773.6791921145604,1013.0000370282255,1069.8522062657032,1246.6589090768264,961.6519168174449,0.0
47,2025-06-14,60,841.89785007046,1102.4462918121917,1164.0218693579536,1356.3288135536777,1046.4116155488055,0.0
48,2025-06-21,60,778.7206927278037,1019.9189705075951,1076.6785012153134,1255.9500603416654,968.0590489728171,0.0
49,2025-06-28,60,887.5230869382881,1162.42718085441,1230.6706524711851,1428.991987877966,1104.4372194332504,0.0
50,2025-07-12,60,887.5230869382881,1162.42718085441,1230.6706524711851,1428.991987877966,1104.4372194332504,0.0
51,2025-07-19,60,887.5230869382881,1162.42718085441,1230.6706524711851,1428.991987877966,1104.4372194332504,0.0
52,2025-07-26,60,887.5230869382881,1162.42718085441,1230.6706524711851,1428.991987877966,1104.4372194332504,0.0
53,2025-08-02,60,887.5230869382881,1162.42718085441,1230.6706524711851,1428.991987877966,1104.4372194332504,0.0
54,2025-08-09,60,887.5230869382881,1162.42718085441,1230.6706524711851,1428.991987877966,1104.4372194332504,0.0
55,2025-08-16,60,794.5855410688458,1041.0748203451897,1102.2335211374766,1279.279335960398,989.0433653623417,0.0
56,2025-08-23,60,794.5855410688458,1041.0748203451897,1102.2335211374766,1279.279335960398,989.0433653623417,0.0
57,2025-09-06,60,794.5855410688458,1041.0748203451897,1102.2335211374766,1279.279335960398,989.0433653623417,0.0
58,2025-09-13,60,794.5855410688458,1041.0748203451897,1102.2335211374766,1279.279335960398,989.0433653623417,0.0
59,2025-09-27,60,864.6415112327825,1132.791734862214,1199.3670875675407,1391.1144022252515,1076.078005314323,0.0
60,2025-10-04,60,864.6415112327825,1132.791734862214,1199.3670875675407,1391.1144022252515,1076.078005314323,0.0
