strategy,scenario_pct,date,realized_return,stake
always_open,20,2026-02-21,0.1830873209070179,1.0
always_open,30,2024-11-23,0.0,0.0
always_open,30,2024-12-07,0.06341640972902426,0.9999999999999999
always_open,30,2024-12-14,-0.009292973624246303,1.0
always_open,30,2025-01-11,0.029193377269309522,0.5256286323710756
always_open,30,2025-01-18,0.3941419589104736,0.9999999999999999
always_open,30,2025-02-01,0.4581914077206526,1.0
always_open,30,2025-02-08,0.40986383218441347,0.529872943121845
always_open,30,2025-02-15,-0.11989968355421383,1.0
always_open,30,2025-02-22,0.19715250971500298,0.7085624097589655
always_open,30,2025-03-01,0.3077058835092894,0.4502414071418246
always_open,30,2025-03-08,-0.0013103850062784056,0.5666783869079762
always_open,30,2025-03-15,0.08300636461345086,1.0
always_open,30,2025-03-22,0.01345602538090468,0.5434004510231342
always_open,30,2025-03-29,0.4055378752014692,1.0
always_open,30,2025-04-05,0.10305312288098913,0.32263953446522176
always_open,30,2025-04-12,-0.25643273405766476,1.0
always_open,30,2025-04-26,0.5209567185474414,0.8044047790351306
always_open,30,2025-05-03,0.5110032968091999,1.0
always_open,30,2025-05-10,0.396024522247006,0.9427467276120416
always_open,30,2025-05-17,0.31796948710437173,0.5965390266411144
always_open,30,2025-05-31,-0.09841630525374728,0.5436278261926286
always_open,30,2025-06-07,0.043550679282872595,0.8683186609732705
always_open,30,2025-06-14,0.20757211002839662,0.9999999999999999
always_open,30,2025-06-21,-0.27028084540190334,0.8560739877713466
always_open,30,2025-06-28,0.30448381974702454,0.9999999999999999
always_open,30,2025-07-12,0.18743035431777372,1.0
always_open,30,2025-07-19,-0.09578502109607633,0.09578502109607633
always_open,30,2025-07-26,-0.1649468827967792,0.7232834653949602
always_open,30,2025-08-02,0.4867310611838703,1.0
always_open,30,2025-08-09,0.11280245160272226,0.8038994352898021
always_open,30,2025-08-16,-0.17452298220110204,0.6033777243875245
always_open,30,2025-08-23,0.0790580042176629,0.6279777565956897
always_open,30,2025-09-06,-0.03413979100925263,0.5507766572510071
always_open,30,2025-09-13,0.2756160339799527,0.9155222674651129
always_open,30,2025-09-27,0.29303331212562406,0.8735015274031628
always_open,30,2025-10-04,0.2101308569369617,1.0
always_open,30,2025-10-11,0.05201797133961163,0.9999999999999999
always_open,30,2025-10-18,-0.35189888898340105,0.652728714896012
always_open,30,2025-10-25,-0.13024650782934905,1.0
always_open,30,2025-11-01,0.306485561197805,0.9469733820941142
always_open,30,2025-11-08,-0.01830501777396333,1.0
always_open,30,2025-11-15,0.4814579897805171,1.0
always_open,30,2025-11-22,0.20741477294797406,1.0
always_open,30,2025-12-06,-0.165953234744261,1.0
always_open,30,2025-12-13,0.06419336407333529,0.3132406320778085
always_open,30,2026-01-24,-0.00913272334127023,0.7294720359636517
always_open,30,2026-01-31,0.2723616047083754,0.9549079509582629
always_open,30,2026-02-07,-0.30636603839988286,1.0
always_open,30,2026-02-21,0.16192588572409328,1.0
always_open,40,2024-11-23,0.0,0.0
always_open,40,2024-12-07,0.05023475865524074,1.0
always_open,40,2024-12-14,-0.06461200606571538,1.0
always_open,40,2025-01-11,0.01779732900088474,0.4993625784442863
always_open,40,2025-01-18,0.3835357227791738,1.0
always_open,40,2025-02-01,0.436209673384401,1.0
always_open,40,2025-02-08,0.40059232268503164,0.5353434936436656
always_open,40,2025-02-15,-0.1407047102400763,1.0
always_open,40,2025-02-22,0.18733261403767432,0.7064787662584522
always_open,40,2025-03-01,0.29986690443616504,0.45539319251542837
always_open,40,2025-03-08,-0.010744824712190446,0.5610462790409889
always_open,40,2025-03-15,0.08036228234030891,1.0
always_open,40,2025-03-22,0.0036517072078331714,0.5402846496335899
always_open,40,2025-03-29,0.39918819289993457,0.9999999999999999
always_open,40,2025-04-05,0.10154234559814287,0.3233643811206362
always_open,40,2025-04-12,-0.27846600121616416,1.0
always_open,40,2025-04-26,0.44589159535159095,0.729439406654907
always_open,40,2025-05-03,0.5107707869363698,1.0
always_open,40,2025-05-10,0.39374361572456207,0.9422963919571744
always_open,40,2025-05-17,0.31138311190732215,0.5980948977923746
always_open,40,2025-05-31,-0.09988149813726957,0.5365752679369026
always_open,40,2025-06-07,0.04000568402441679,0.8741476823699461
always_open,40,2025-06-14,0.16403261792355076,0.9358281586708461
always_open,40,2025-06-21,-0.2825176329532033,0.8430733265444311
always_open,40,2025-06-28,0.2937834331792424,1.0
always_open,40,2025-07-12,0.18175586673561134,1.0
always_open,40,2025-07-19,-0.09564402081508351,0.09564402081508351
always_open,40,2025-07-26,-0.06691945314207351,0.62540400783918
always_open,40,2025-08-02,0.4845601370177911,1.0000000000000002
always_open,40,2025-08-09,0.1090841604734285,0.811738184602462
always_open,40,2025-08-16,-0.17587624567754467,0.6119733511420685
always_open,40,2025-08-23,0.07235890857340838,0.6384182048774998
always_open,40,2025-09-06,-0.0397880355215917,0.5502286437855324
always_open,40,2025-09-13,0.27116489385241654,0.9215217557751681
always_open,40,2025-09-27,0.1905109951381337,0.9612358774950225
always_open,40,2025-10-04,0.20156747804028538,1.0
always_open,40,2025-10-11,0.020156801159401563,1.0
always_open,40,2025-10-18,-0.35791762540302524,0.6601549459086598
always_open,40,2025-10-25,-0.16341559785958734,1.0
always_open,40,2025-11-01,0.32042345598024863,1.0
always_open,40,2025-11-08,-0.005031429624735517,1.0
always_open,40,2025-11-15,0.4589907383301541,1.0
always_open,40,2025-11-22,0.19481531082490294,1.0
always_open,40,2025-12-06,-0.17816556630355557,0.9999999999999999
always_open,40,2025-12-13,0.04823444482253714,0.32916997143354354
always_open,40,2026-01-24,-0.02460825560284989,0.7253870587453902
always_open,40,2026-01-31,0.2690611093572252,0.9457928716324973
always_open,40,2026-02-07,-0.3109683593763187,1.0
always_open,40,2026-02-21,0.1402205428991713,1.0
always_open,50,2024-11-23,0.0,0.0
always_open,50,2024-12-07,0.036405837113806794,1.0
always_open,50,2024-12-14,-0.09681732513850061,1.0
always_open,50,2025-01-11,-0.010223649711432387,0.3619463506412537
always_open,50,2025-01-18,0.3672715854613864,0.9821778151834122
always_open,50,2025-02-01,0.41393128180191335,1.0
always_open,50,2025-02-08,0.3909577351196871,0.5408270902566991
always_open,50,2025-02-15,-0.1621210565558035,1.0
always_open,50,2025-02-22,0.1772645955817599,0.7038387991573749
always_open,50,2025-03-01,0.29183686624763366,0.460571745027755
always_open,50,2025-03-08,-0.020264619012254764,0.5549401984908169
always_open,50,2025-03-15,0.07767623639874022,0.9999999999999999
always_open,50,2025-03-22,-0.006098683289196549,0.5362315904608396
always_open,50,2025-03-29,0.39277475129970835,1.0
always_open,50,2025-04-05,0.10002627869433178,0.3240973973376219
always_open,50,2025-04-12,-0.30130594567403135,0.9999999999999999
always_open,50,2025-04-26,0.40969037796084895,0.7173043050458114
always_open,50,2025-05-03,0.508108313058581,0.9945308501207603
always_open,50,2025-05-10,0.3913840311210908,0.9415919063207396
always_open,50,2025-05-17,0.3043793012999436,0.599322199241087
always_open,50,2025-05-31,-0.10119606107576753,0.5288723596852375
always_open,50,2025-06-07,0.036213153151874844,0.8797887123706778
always_open,50,2025-06-14,0.1576201581913303,0.9295148100467345
always_open,50,2025-06-21,-0.294751923206903,0.8283274179335887
always_open,50,2025-06-28,0.2830197744624112,1.0
always_open,50,2025-07-12,0.17632997082558638,0.9999999999999999
always_open,50,2025-07-19,-0.09549703888776079,0.09549703888776079
always_open,50,2025-07-26,-0.06727867701779514,0.6259314639726267
always_open,50,2025-08-02,0.48291493110858874,1.0
always_open,50,2025-08-09,0.10517876955027892,0.8194747016312419
always_open,50,2025-08-16,-0.17750544981168617,0.6193557423365528
always_open,50,2025-08-23,0.06547589754457406,0.6490045941590339
always_open,50,2025-09-06,-0.04299329624797485,0.5468480502877789
always_open,50,2025-09-13,0.26630232581754143,0.9275611978569781
always_open,50,2025-09-27,0.1711642775980325,0.964995536235713
always_open,50,2025-10-04,0.19064560033496677,0.9999999999999999
always_open,50,2025-10-11,-0.009490045276827341,1.0
always_open,50,2025-10-18,-0.3611164369852592,0.664736253867802
always_open,50,2025-10-25,-0.16549416238870673,1.0
always_open,50,2025-11-01,0.3147580787254849,1.0
always_open,50,2025-11-08,0.005727947606323669,0.9999999999999999
always_open,50,2025-11-15,0.43716979539811657,1.0
always_open,50,2025-11-22,0.18238502495333225,1.0
always_open,50,2025-12-06,-0.16075599771132879,1.0
always_open,50,2025-12-13,0.032249428189775636,0.34459942889921813
always_open,50,2026-01-24,-0.04154593650318479,0.7177717896267161
always_open,50,2026-01-31,0.33483277972913306,0.8654924235782109
always_open,50,2026-02-07,-0.31443994910931927,0.9999999999999999
always_open,50,2026-02-21,0.1180461913841685,1.0
always_open,60,2024-11-23,0.0,0.0
always_open,60,2024-12-07,0.013921396310060757,1.0
always_open,60,2024-12-14,-0.17557743901134412,0.9439698658745485
always_open,60,2025-01-11,-0.014569749366065088,0.3605760807332479
always_open,60,2025-01-18,0.32306448806629157,0.8683019293147478
always_open,60,2025-02-01,0.5224269608616703,1.0
always_open,60,2025-02-08,0.38095829306590057,0.5463316318088854
always_open,60,2025-02-15,-0.21549904446322288,1.0
always_open,60,2025-02-22,0.2689782100282357,0.5985358801947337
always_open,60,2025-03-01,0.283612317355893,0.46577713722555203
always_open,60,2025-03-08,-0.02987235544147515,0.5483037242963793
always_open,60,2025-03-15,0.05589231968446205,0.9410611587192105
always_open,60,2025-03-22,-0.059680764730139,0.40962313942215633
always_open,60,2025-03-29,0.3863913052348294,1.0
always_open,60,2025-04-05,0.09851028172783118,0.32485669276768264
always_open,60,2025-04-12,-0.32523014963882463,0.9999999999999999
always_open,60,2025-04-26,0.36807313276837084,0.7012508853452919
always_open,60,2025-05-03,0.5006321364517314,0.978799215939056
always_open,60,2025-05-10,0.38895366527977404,0.9406343793034212
always_open,60,2025-05-17,0.29698214846257,0.6002595182610375
always_open,60,2025-05-31,-0.1023375112879726,0.52045358425171
always_open,60,2025-06-07,0.02850884775825807,0.8662985134896383
always_open,60,2025-06-14,0.15114341261809106,0.9219251326340625
always_open,60,2025-06-21,-0.3069926511299116,0.8115606823035206
always_open,60,2025-06-28,0.27217626123835026,1.0
always_open,60,2025-07-12,0.16783874727502202,0.995022596874805
always_open,60,2025-07-19,-0.0953433891806755,0.0953433891806755
always_open,60,2025-07-26,-0.06764412711729116,0.6264551346882643
always_open,60,2025-08-02,0.4818973253805937,1.0
always_open,60,2025-08-09,0.1011243944693019,0.8271615892476625
