date,shift_pct,ticket,fighter,decimal_odds,probability
2025-03-29,0.5,opening,manuel torres,1.908391608391608,0.661549976445597
2025-03-29,0.5,opening,raul rosas jr,1.299632132132132,0.8758955857975981
2025-03-29,0.5,close1,manuel torres,1.76993006993007,0.6929470190152676
2025-03-29,0.5,close1,rafa garcia,1.2665833333333332,0.8438188685036629
2025-04-12,0.5,opening,sean woodson,2.1964390243902443,0.5484123939933516
2025-04-12,0.5,opening,paddy pimblett,2.1372761904761908,0.5447114217938376
2025-04-12,0.5,close1,sean woodson,1.4913658536585366,0.7281210322574546
2025-04-12,0.5,close1,nikita krylov,1.5319148936170213,0.6970695408009158
2025-04-26,0.5,opening,randy brown,1.4990015015015015,0.7091383927920206
2025-04-26,0.5,opening,jaqueline amorim,1.2848351648351648,0.8269028919273033
2025-04-26,0.5,close1,randy brown,1.3012987987987987,0.7791614092032628
2025-04-26,0.5,close1,damon blackshear,1.1758333333333335,0.8592759392944049
2025-05-03,0.5,opening,reinier de ridder,2.704,0.5059219526001761
2025-05-03,0.5,opening,yana santos,1.910545454545454,0.612468207478366
2025-05-03,0.5,close1,yana santos,2.198545454545455,0.5513601066273458
2025-05-03,0.5,close1,gillian robertson,1.3703367003367002,0.7692357429187822
2025-06-07,0.5,opening,merab dvalishvili,1.3391063174114022,0.8389160650313524
2025-06-07,0.5,opening,joshua van,1.2849523809523808,0.8641996896434659
2025-06-07,0.5,close1,merab dvalishvili,1.3635130970724192,0.8238091680865842
2025-06-07,0.5,close1,serghei spivac,1.556298904538341,0.6697094323179318
2025-06-14,0.5,opening,phil rowe,2.2402,0.5097313328883539
2025-06-14,0.5,opening,michael chiesa,1.3632467532467534,0.8350665142440554
2025-06-14,0.5,close1,michael chiesa,1.286103896103896,0.8566054144092867
2025-06-14,0.5,close1,jamey lyn horth,1.143612031654624,0.8979316683707966
2025-06-21,0.5,opening,klaudia sygula,2.403,0.5011869987725102
2025-06-21,0.5,opening,ignacio bahamondes,2.0978333333333334,0.5519942547751178
2025-06-21,0.5,close1,ismail naurdiev,2.38125,0.502069586439336
2025-06-21,0.5,close1,hamdy abdelwahab,1.5561111111111112,0.7133713955530394
2025-06-28,0.5,opening,joshua van,1.798,0.69511472928223
2025-06-28,0.5,opening,terrance mckinney,1.4881436314363143,0.731923287176395
2025-06-28,0.5,close1,terrance mckinney,1.5552168021680217,0.7039420461177599
2025-06-28,0.5,close1,hyder amil,2.00025,0.5264356066367114
2025-07-12,0.5,opening,steve garcia,1.6666666666666663,0.6853670047718092
2025-07-12,0.5,opening,gabriel bonfim,1.249861111111111,0.8424425895600272
2025-07-12,0.5,close1,steve garcia,1.6666666666666663,0.686993804738321
2025-07-12,0.5,close1,jake matthews,1.9265462962962965,0.5412079965015553
2025-07-26,0.5,opening,bryce mitchell,1.6990300022558085,0.6899127510954061
2025-07-26,0.5,opening,amanda ribas,1.5375103391232423,0.7044217284929533
2025-07-26,0.5,close1,bryce mitchell,1.645431987367471,0.6962846561530474
2025-07-26,0.5,close1,reinier de ridder,2.2016,0.5095571419605327
2025-10-18,0.5,opening,charles jourdain,1.5001315789473684,0.7197516629828494
2025-10-18,0.5,opening,reinier de ridder,1.570654761904762,0.6860535797296826
2025-10-18,0.5,close1,charles jourdain,1.5261842105263157,0.7002771565321085
2025-10-18,0.5,close1,cody gibson,1.50475,0.704232541693518
2025-10-25,0.5,opening,ludovit klein,2.2967258064516125,0.538201915595302
2025-10-25,0.5,opening,hamdy abdelwahab,1.4336503623188406,0.797491579102031
2025-10-25,0.5,close1,virna jandiroba,2.0470755813953487,0.5706200163780879
2025-10-25,0.5,close1,quillan salkilld,1.7403703703703703,0.6282120014422289
2025-11-08,0.5,opening,denise gomes,1.5001315789473684,0.7635255494792179
2025-11-08,0.5,opening,ricky simon,1.476248548199768,0.7470489598645222
2025-11-08,0.5,close1,denise gomes,1.5261842105263157,0.7499614717842881
2025-11-08,0.5,close1,gabriel bonfim,1.5702380952380952,0.7255550999800577
2025-11-15,0.5,opening,bo nickal,1.6236607142857142,0.7086895653891611
2025-11-15,0.5,opening,kyle daukaus,1.3836013986013986,0.7716712807686515
2025-11-15,0.5,close1,valentina shevchenko,1.6751852348993288,0.6277814686411398
2025-11-15,0.5,close1,bo nickal,1.358482142857143,0.7729497965586237
2025-11-22,0.5,opening,tagir ulanbekov,1.554905437352246,0.7588611591507901
2025-11-22,0.5,opening,waldo cortes acosta,1.9505602240896358,0.5625683569332729
2025-11-22,0.5,close1,tagir ulanbekov,1.4261820330969266,0.7836001030783515
2025-11-22,0.5,close1,ismail naurdiev,1.7242402992052361,0.6290677611853261
2025-12-06,0.5,opening,maycee barber,1.7392592592592593,0.7117799268811618
2025-12-06,0.5,opening,terrance mckinney,2.2979642857142855,0.5033609869636735
2025-12-06,0.5,close1,maycee barber,1.4459259259259258,0.7822801547873088
2025-12-06,0.5,close1,grant dawson,1.364318181818182,0.7931559090811946
2025-12-13,0.5,opening,melquizael costa,2.296441176470588,0.550433340771528
2025-12-13,0.5,opening,kevin vallejos,1.399111111111111,0.7195686758176905
2025-12-13,0.5,close1,melquizael costa,1.591794117647059,0.6950577856587653
2025-12-13,0.5,close1,tereza bleda,1.363068181818182,0.7466128765312878
2026-01-24,0.5,opening,natalia silva,1.6647619047619044,0.690479399369306
2026-01-24,0.5,opening,waldo cortes acosta,1.4989925373134327,0.734146200468311
2026-01-24,0.5,close1,paddy pimblett,1.4001739130434783,0.7607914326325595
2026-01-24,0.5,close1,waldo cortes acosta,1.2995149253731344,0.7929598688039046
2026-01-31,0.5,opening,tallison teixeira,1.333095238095238,0.8057917724774863
2026-01-31,0.5,opening,benoit st denis,1.3765828092243186,0.7778174049031734
2026-01-31,0.5,close1,jacob malkoun,1.6742972972972974,0.6283341172388005
2026-01-31,0.5,close1,tallison teixeira,1.2859523809523807,0.8138919787347447
2024-05-11,1.0,opening,rodrigo nascimento,2.3599,0.5057674555359768
2024-05-11,1.0,opening,sean woodson,1.5533557046979867,0.7149072554487838
2024-05-11,1.0,close1,joaquin buckley,1.703939855348306,0.6165185506531019
2024-05-11,1.0,close1,sean woodson,1.3377703206562266,0.7684464253837211
2024-05-18,1.0,opening,luana pinheiro,2.1990000000000003,0.6501148381259434
2024-05-18,1.0,opening,piera rodriguez,1.829,0.6394269821892696
2024-05-18,1.0,close1,luana pinheiro,2.101,0.6511489247966875
2024-05-18,1.0,close1,themba gorimbo,1.6867586206896552,0.6796841013334217
2024-06-15,1.0,opening,brady hiestand,2.6015,0.5017980081302986
2024-06-15,1.0,opening,tatsuro taira,1.5861265260821311,0.7145132317418089
2024-06-15,1.0,close1,melquizael costa,1.4213717919600273,0.7458466769878214
2024-06-15,1.0,close1,tatsuro taira,1.3794672586015537,0.7671932356932937
2024-06-22,1.0,opening,rinat fakhretdinov,1.3985316455696202,0.7582808352067343
2024-06-22,1.0,opening,muin gafurov,1.865997770345596,0.5680639932799962
2024-06-22,1.0,close1,rinat fakhretdinov,1.2546329113924048,0.8098217186389458
2024-06-22,1.0,close1,johnny walker,1.6894252873563218,0.5967744582903123
2024-06-29,1.0,opening,ian machado garry,1.9475083056478404,0.7188507253481914
2024-06-29,1.0,opening,joe pyfer,1.613968253968254,0.6626420622228575
2024-06-29,1.0,close1,ian machado garry,1.4699889258028793,0.8149805019856975
2024-06-29,1.0,close1,gillian robertson,1.4985971223021584,0.6799061396920834
2024-07-20,1.0,opening,cody durden,1.6709999999999996,0.717539581170601
2024-07-20,1.0,opening,luana carolina,2.0461666666666667,0.5593361771299975
2024-07-20,1.0,close1,cody durden,2.095666666666667,0.6126269773464393
2024-07-20,1.0,close1,steve garcia,1.5282990083905414,0.7050227235067411
2024-08-03,1.0,opening,rolando bedoya,2.1970909090909094,0.6078608617442296
2024-08-03,1.0,opening,viktoriia dudakova,1.5254004576659037,0.7442227997520501
2024-08-03,1.0,close1,rolando bedoya,1.9119999999999997,0.6446188560808483
2024-08-03,1.0,close1,sedriques dumas,1.3996363636363636,0.7869080392418876
2024-08-10,1.0,opening,yana santos,1.9492265696087352,0.5690711704048281
2024-08-10,1.0,opening,youssef zalal,1.3854158454867955,0.787187604147019
2024-08-10,1.0,close1,yana santos,1.6400970579314527,0.6449647066073726
2024-08-10,1.0,close1,karol rosa,1.3600230414746544,0.7411650782045447
2024-08-24,1.0,opening,edmen shahbazyan,1.6717760617760618,0.6901386871517964
2024-08-24,1.0,opening,caio borralho,1.685615763546798,0.6648582832048802
2024-08-24,1.0,close1,edmen shahbazyan,1.2896138996138995,0.8034795874669461
2024-08-24,1.0,close1,tabatha ricci,1.522381756756757,0.6668700467843314
2024-09-07,1.0,opening,steve garcia,1.6644444444444442,0.6638783400298179
2024-09-07,1.0,opening,trevor peek,1.9079999999999997,0.5742012670712252
2024-09-07,1.0,close1,jaqueline amorim,1.3265901639344262,0.8666702519457593
2024-09-07,1.0,close1,steve garcia,1.4466666666666665,0.7345265314677281
2024-09-14,1.0,opening,norma dumont,1.8324074074074073,0.6388121121389583
2024-09-14,1.0,opening,diego lopes,1.6644444444444442,0.6601402827949261
2024-09-14,1.0,close1,norma dumont,1.7416666666666667,0.6492377759970676
2024-09-14,1.0,close1,merab dvalishvili,1.830050505050505,0.6045484180823368
2024-10-05,1.0,opening,iasmin lucindo,1.830128205128205,0.7251205618412953
2024-10-05,1.0,opening,joaquin buckley,1.6643478260869562,0.7162995072884382
2024-10-05,1.0,close1,carla esparza,2.343166666666667,0.5621054311274407
2024-10-05,1.0,close1,iasmin lucindo,1.516025641025641,0.8015040203783114
2024-10-12,1.0,opening,tatsuro taira,1.5106953106953107,0.7853508088870187
2024-10-12,1.0,opening,themba gorimbo,1.3625,0.8457701206225775
2024-10-12,1.0,close1,jonathan pearce,1.5323100303951367,0.743783715757859
