,blue_probs,red_probs,pred_winner,winner,correct_pred,event_dates,open_red,open_blue,close1_red,close1_blue,close2_red,close2_blue,fighter_red,fighter_blue
134,0.5393611,0.46063885,0,1,0,2018-04-14,-260.0,180.0,-210.0,175.0,-205.0,175.0,muslim salikhov,ricky rainey
135,0.5370074,0.4629926,0,1,0,2018-04-14,,,,,,,michelle waterson gomez,cortney casey
136,0.7915855,0.20841448,0,0,1,2018-04-14,120.0,-160.0,155.0,-189.0,164.0,-175.0,carlos condit,alex oliveira
137,0.46479678,0.5352032,1,1,1,2018-04-14,-130.0,-110.0,-125.0,103.0,-123.0,105.0,dustin poirier,justin gaethje
138,0.31979907,0.68020093,1,0,0,2018-04-14,220.0,-260.0,205.0,-260.0,220.0,-240.0,tim boetsch,antonio carlos junior
139,0.49238873,0.5076113,1,0,0,2018-04-14,-120.0,-120.0,105.0,-127.0,107.0,-125.0,dhiego lima,yushin okami
140,0.28417045,0.71582955,1,1,1,2018-04-21,-195.0,155.0,-150.0,130.0,-150.0,130.0,ryan laflare,alex garcia
141,0.34321392,0.6567861,1,1,1,2018-04-21,,,,,,,anthony rocco martin,keita nakamura
142,0.39950514,0.60049486,1,1,1,2018-04-21,145.0,-175.0,-165.0,144.0,-164.0,145.0,corey anderson,patrick cummins
143,0.50487536,0.49512464,0,1,0,2018-04-21,-180.0,140.0,150.0,-176.0,151.0,-170.0,siyar bahadurzada,luan chagas
144,0.093813,0.906187,1,0,0,2018-04-21,175.0,-245.0,-110.0,-110.0,-110.0,-110.0,merab dvalishvili,ricky simon
145,0.29175413,0.7082459,1,0,0,2018-04-21,190.0,-270.0,250.0,-305.0,255.0,-300.0,jim miller,dan hooker
146,0.28373897,0.716261,1,1,1,2018-04-21,145.0,-185.0,140.0,-164.0,144.0,-160.0,david branch,thiago santos
147,0.68470323,0.3152968,0,1,0,2018-04-21,-215.0,165.0,-300.0,245.0,-290.0,250.0,justin willis,chase sherman
148,0.5229819,0.47701812,0,1,0,2018-04-21,-230.0,170.0,-315.0,235.0,-275.0,265.0,frankie edgar,cub swanson
149,0.34932637,0.6506736,1,0,0,2018-04-21,-135.0,-105.0,141.0,-165.0,145.0,-161.0,edson barboza,kevin lee
150,0.05334878,0.9466512,1,1,1,2018-04-21,110.0,-150.0,-115.0,-110.0,-110.0,-105.0,aljamain sterling,brett johns
151,0.32738817,0.67261183,1,1,1,2018-05-12,-105.0,-135.0,-101.0,-120.0,100.0,-119.0,elizeu zaleski dos santos,sean strickland
152,0.26789248,0.7321075,1,1,1,2018-05-12,-200.0,170.0,-320.0,250.0,-300.0,270.0,markus perez,james bochnovic
153,0.20011187,0.79988813,1,0,0,2018-05-12,160.0,-210.0,150.0,-181.0,156.0,-170.0,alberto mina,ramazan emeev
154,0.6542089,0.34579113,0,1,0,2018-05-12,,,,,,,aleksei oleinik,junior albini
155,0.43758488,0.5624151,1,1,1,2018-05-12,-260.0,180.0,-280.0,230.0,-270.0,240.0,warlley alves,sultan aliev
156,0.49152482,0.5084752,1,1,1,2018-05-12,145.0,-185.0,-185.0,160.0,-185.0,160.0,davi ramos,nick hein
157,0.2536723,0.7463277,1,0,0,2018-05-12,160.0,-210.0,110.0,-134.0,114.0,-130.0,thales leites,jack hermansson
158,0.3319527,0.6680473,1,1,1,2018-05-12,-110.0,-130.0,-160.0,130.0,-150.0,140.0,cezar ferreira,karl roberson
159,0.18434083,0.81565917,1,0,0,2018-05-12,-120.0,-120.0,165.0,-205.0,175.0,-190.0,vitor belfort,lyoto machida
160,0.5504001,0.44959992,0,1,0,2018-05-12,-530.0,350.0,-265.0,220.0,-260.0,225.0,mackenzie dern,amanda cooper
161,0.5580445,0.4419555,0,0,1,2018-05-12,,,,,,,jacare souza,kelvin gastelum
162,0.8818939,0.11810613,0,1,0,2018-05-12,-530.0,350.0,-700.0,500.0,-700.0,525.0,amanda nunes,raquel pennington
163,0.26776814,0.73223186,1,1,1,2018-05-12,-320.0,240.0,-270.0,225.0,-265.0,230.0,john lineker,brian kelleher
164,0.294433,0.705567,1,0,0,2018-05-19,115.0,-155.0,-190.0,158.0,-183.0,165.0,zak cummings,michel prazeres
165,0.52184296,0.478157,0,1,0,2018-05-19,220.0,-300.0,245.0,-325.0,265.0,-285.0,claudio puelles,felipe silva
166,0.19371247,0.8062875,1,1,1,2018-05-19,-165.0,125.0,-235.0,190.0,-225.0,195.0,enrique barzola,brandon davis
167,0.5506599,0.44934008,0,1,0,2018-05-19,-120.0,-120.0,-158.0,138.0,-155.0,145.0,gabriel benitez,humberto bandenay
168,0.2717917,0.7282083,1,1,1,2018-05-19,-185.0,145.0,-183.0,158.0,-174.0,164.0,poliana botelho,syuri kondo
169,0.48757136,0.51242864,1,0,0,2018-05-19,-170.0,130.0,-110.0,-110.0,-110.0,-110.0,brandon moreno,alexandre pantoja
170,0.18964839,0.8103516,1,0,0,2018-05-19,185.0,-265.0,265.0,-340.0,280.0,-315.0,henry briones,frankie saenz
171,0.78709143,0.21290857,0,1,0,2018-05-19,-265.0,185.0,-235.0,188.0,-223.0,195.0,vicente luque,chad laprise
172,0.35807478,0.6419252,1,0,0,2018-05-19,,,,,,,veronica hardy,andrea lee
173,0.70853066,0.29146937,0,0,1,2018-05-19,-160.0,120.0,-175.0,150.0,-175.0,155.0,diego rivas,guido cannetti
174,0.94786495,0.052135047,0,0,1,2018-05-19,160.0,-210.0,180.0,-220.0,180.0,-210.0,jared cannonier,dominick reyes
175,0.24949741,0.7505026,1,0,0,2018-05-19,135.0,-175.0,410.0,-525.0,415.0,-525.0,demian maia,kamaru usman
176,0.35146463,0.6485354,1,0,0,2018-05-19,-110.0,-110.0,425.0,-600.0,450.0,-550.0,alexa grasso,tatiana suarez
177,0.8042952,0.1957048,0,0,1,2018-05-27,180.0,-260.0,295.0,-380.0,315.0,-360.0,daniel kelly,tom breese
178,0.2152428,0.7847572,1,1,1,2018-05-27,-350.0,250.0,-390.0,310.0,-375.0,320.0,elias theodorou,trevor smith
179,0.77261,0.22738999,0,1,0,2018-05-27,185.0,-265.0,127.0,-155.0,135.0,-147.0,gillian robertson,molly mccann
180,0.38021696,0.61978304,1,0,0,2018-05-27,160.0,-210.0,120.0,-144.0,124.0,-140.0,brad scott,carlo pedersoli jr
181,0.76845556,0.23154445,0,1,0,2018-05-27,-185.0,145.0,140.0,-165.0,145.0,-160.0,lina lansberg,gina mazany
182,0.49345624,0.50654376,1,0,0,2018-05-27,-260.0,180.0,-160.0,135.0,-155.0,140.0,eric spicely,darren stewart
183,0.27948147,0.7205185,1,0,0,2018-05-27,-230.0,170.0,-180.0,150.0,-170.0,155.0,jason knight,makwan amirkhani
184,0.13894856,0.86105144,1,1,1,2018-05-27,-245.0,175.0,-255.0,205.0,-245.0,215.0,arnold allen,mads burnell
185,0.38098955,0.61901045,1,1,1,2018-05-27,-380.0,260.0,-750.0,460.0,-610.0,525.0,neil magny,craig white
186,0.29288828,0.7071117,1,0,0,2018-05-27,-165.0,125.0,-150.0,124.0,-144.0,130.0,stephen thompson,darren till
187,0.6957586,0.30424142,0,1,0,2018-05-27,,,,,,,claudio silva,nordine taleb
188,0.8033934,0.19660659,0,0,1,2018-06-01,185.0,-265.0,245.0,-300.0,250.0,-285.0,nik lentz,david teymur
189,0.0051041245,0.9948959,1,0,0,2018-06-01,150.0,-190.0,120.0,-155.0,135.0,-140.0,gian villante,sam alvey
190,0.1309036,0.8690964,1,0,0,2018-06-01,180.0,-260.0,200.0,-245.0,205.0,-235.0,johnny eduardo,nathaniel wood
191,0.2682612,0.7317388,1,1,1,2018-06-01,-185.0,145.0,-1200.0,275.0,-325.0,600.0,desmond green,gleison tibau
192,0.5354562,0.46454382,0,1,0,2018-06-01,-400.0,280.0,-450.0,360.0,-445.0,375.0,belal muhammad,chance rencountre
193,0.36221516,0.63778484,1,1,1,2018-06-01,-190.0,150.0,-210.0,175.0,-205.0,175.0,sijara eubanks,lauren murphy
194,0.22393793,0.7760621,1,0,0,2018-06-01,-210.0,160.0,-160.0,140.0,-160.0,140.0,jake ellenberger,ben saunders
195,0.57922244,0.42077756,0,1,0,2018-06-01,-230.0,170.0,-185.0,150.0,-175.0,160.0,julio arce,daniel teymur
196,0.2954365,0.7045635,1,1,1,2018-06-01,-260.0,180.0,-220.0,180.0,-212.0,182.0,walt harris,daniel spitz
197,0.41578078,0.5842192,1,1,1,2018-06-01,-230.0,170.0,-400.0,305.0,-370.0,325.0,gregor gillespie,vinc pichel
198,0.20298421,0.7970158,1,0,0,2018-06-01,-190.0,150.0,-128.0,100.0,-120.0,108.0,jimmie rivera,marlon moraes
199,0.3060367,0.6939633,1,0,0,2018-06-01,185.0,-265.0,117.0,-145.0,125.0,-137.0,jarred brooks,jose torres
200,0.34948492,0.6505151,1,0,0,2018-06-09,135.0,-175.0,205.0,-245.0,205.0,-240.0,ricardo lamas,mirsad bektic
201,0.75881857,0.24118145,0,0,1,2018-06-09,180.0,-260.0,-110.0,-110.0,-110.0,-110.0,mike santiago,dan ige
202,0.29161572,0.7083843,1,0,0,2018-06-09,145.0,-185.0,120.0,-148.0,128.0,-140.0,clay guida,charles oliveira
203,0.64969206,0.3503079,0,0,1,2018-06-09,-260.0,180.0,-205.0,170.0,-200.0,175.0,joseph benavidez,sergio pettis
204,0.42947042,0.5705296,1,0,0,2018-06-09,190.0,-270.0,180.0,-210.0,188.0,-205.0,rashad evans,anthony smith
205,0.17819953,0.8218005,1,0,0,2018-06-09,-190.0,150.0,-115.0,-105.0,-115.0,-105.0,rashad coulter,chris de la rocha
206,0.24278748,0.7572125,1,1,1,2018-06-09,-400.0,280.0,-270.0,220.0,-260.0,230.0,claudia gadelha,carla esparza
207,0.23573267,0.7642673,1,2,0,2018-06-09,200.0,-280.0,160.0,-190.0,165.0,-185.0,cm punk,mike jackson
