favorites_chosen,favorites_correct,favorites_wrong,favorites_units,dogs_chosen,dogs_correct,dogs_wrong,dogs_units,accuracy,total_units
392,284,108,38.81285553375189,89,50,39,21.90545495863189,0.6943866943866944,60.718310492383694
392,268,124,13.510708885525194,89,52,37,27.674837496907998,0.6652806652806653,41.18554638243318
392,292,100,50.40196223778107,89,55,34,28.657623109256804,0.7214137214137214,79.05958534703784
392,291,101,51.31056026999825,89,56,33,31.454519839032365,0.7214137214137214,82.7650801090306
392,277,115,24.360522134149065,89,47,42,14.625693992437387,0.6735966735966736,38.986216126586456
392,290,102,50.19437288240868,89,60,29,42.95829273400614,0.7276507276507277,93.15266561641488
392,286,106,36.77751482614637,89,45,44,12.871769434470618,0.6881496881496881,49.64928426061702
392,273,119,18.59324406491647,89,48,41,12.820743548325254,0.6673596673596673,31.4139876132417
392,288,104,44.455549533456804,89,55,34,29.686258515148854,0.7130977130977131,74.14180804860565
392,280,112,34.97981214783351,89,51,38,26.280934188599904,0.6881496881496881,61.2607463364334
392,289,103,50.70788141344279,89,52,37,24.15403016569084,0.7089397089397089,74.86191157913355
392,289,103,46.12101114671727,89,51,38,20.8088803835111,0.7068607068607069,66.92989153022836
392,279,113,30.42789074069428,89,45,44,12.532827349815122,0.6735966735966736,42.960718090509395
392,286,106,40.09746439834521,89,49,40,15.363009879726295,0.6964656964656964,55.46047427807153
392,292,100,51.01147842775127,89,57,32,38.15112973279041,0.7255717255717256,89.16260816054165
392,283,109,38.68627972016119,89,50,39,19.58052555436014,0.6923076923076923,58.26680527452132
392,293,99,51.98211483040245,89,48,41,13.169874540283619,0.7089397089397089,65.15198937068607
392,277,115,27.50637952352634,89,45,44,11.513457732022996,0.6694386694386695,39.01983725554931
392,288,104,43.98648431702257,89,48,41,16.12672025174099,0.6985446985446986,60.11320456876353
392,290,102,48.68828569935081,89,50,39,23.424100246377623,0.7068607068607069,72.1123859457284
392,284,108,38.48935910062767,89,51,38,26.67521780196119,0.6964656964656964,65.16457690258885
392,281,111,31.410926402433795,89,47,42,14.963745970014845,0.681912681912682,46.37467237244861
392,277,115,29.490402087451695,89,52,37,22.77823728543194,0.683991683991684,52.26863937288358
392,288,104,41.74484925956895,89,54,35,29.801323798989515,0.7110187110187111,71.54617305855842
392,281,111,33.85138165735723,89,50,39,16.781080782083794,0.6881496881496881,50.63246243944101
392,281,111,34.71001144984867,89,51,38,22.250403107390877,0.6902286902286903,56.96041455723955
392,298,94,62.91647082992063,89,55,34,33.04395706846959,0.7338877338877339,95.9604278983902
392,282,110,35.62820695710965,89,50,39,19.074935478112405,0.6902286902286903,54.70314243522203
392,289,103,47.56442975768239,89,48,41,14.677796399457073,0.7006237006237006,62.24222615713943
392,288,104,48.46774088468203,89,42,47,3.7804278162868648,0.6860706860706861,52.248168700968876
392,282,110,34.31320151073675,89,44,45,5.10094748602946,0.6777546777546778,39.41414899676621
392,289,103,48.8764292318557,89,40,49,-0.7842302470356017,0.683991683991684,48.09219898482009
392,290,102,50.45675651157487,89,43,46,4.271219738801444,0.6923076923076923,54.72797625037635
392,276,116,24.22417353641218,89,56,33,35.21575645553484,0.6902286902286903,59.439929991947
392,285,107,38.52062984516448,89,57,32,36.70115406852815,0.7110187110187111,75.22178391369256
392,297,95,57.38290449475853,89,59,30,41.72583143493188,0.7401247401247402,99.10873592969041
392,279,113,30.883376569560728,89,50,39,16.975147940023035,0.683991683991684,47.858524509583724
392,279,113,32.26515246616265,89,51,38,23.773934499016477,0.6860706860706861,56.03908696517912
392,291,101,51.2345619971769,89,54,35,26.964602465544242,0.7172557172557172,78.19916446272114
392,295,97,55.23365655950934,89,52,37,24.989876054506766,0.7214137214137214,80.22353261401612
392,281,111,36.191260876221754,89,48,41,17.77200540137396,0.683991683991684,53.96326627759569
392,304,88,72.08546631294816,89,48,41,15.205417329251908,0.7318087318087318,87.29088364220007
392,274,118,18.657041425745813,89,57,32,33.018821933039376,0.6881496881496881,51.67586335878516
392,271,121,20.457346430092105,89,50,39,21.367765681122037,0.6673596673596673,41.825112111214125
392,266,126,6.793959517590219,89,47,42,15.375748270421173,0.6507276507276507,22.16970778801141
392,287,105,43.61199968650192,89,51,38,23.267137051062864,0.7027027027027027,66.87913673756472
392,290,102,45.8360770431022,89,52,37,27.77399486118952,0.7110187110187111,73.6100719042917
392,274,118,22.415062089170554,89,54,35,26.667418389756996,0.681912681912682,49.08248047892752
392,281,111,35.23031904338371,89,52,37,29.057747448750458,0.6923076923076923,64.2880664921341
392,286,106,42.155294216345474,89,55,34,31.737095643195367,0.7089397089397089,73.8923898595408
392,294,98,52.091067814571936,89,51,38,20.916507416672122,0.7172557172557172,73.007575231244
392,281,111,34.63166524252175,89,49,40,20.408709254717746,0.6860706860706861,55.040374497239505
392,282,110,38.38128961413763,89,56,33,35.98422332073287,0.7027027027027027,74.36551293487047
392,275,117,22.105238035222595,89,53,36,26.15794356046531,0.681912681912682,48.26318159568789
