date,fighter_red,fighter_blue,winner
2025-05-03,jeremy stephens,mason jones,0.0
2025-05-03,juliana miller,ivana petrovic,1.0
2025-05-03,marina rodriguez,gillian robertson,0.0
2025-05-03,montel jackson,daniel marcos,1.0
2025-05-03,reinier de ridder,bo nickal,1.0
2025-05-03,santiago ponzinibbio,daniel rodriguez,0.0
2025-05-03,thomas petersen,dontale mayes,1.0
2025-05-03,yana santos,miesha tate,1.0
2025-05-10,alexa grasso,natalia silva,0.0
2025-05-10,belal muhammad,jack della maddalena,0.0
2025-05-10,benoit st denis,kyle prepolec,1.0
2025-05-10,brad katona,bekzat almakhan,0.0
2025-05-10,daniel santos,jeongyeong lee,1.0
2025-05-10,jessica andrade,jasmine jasudavicius,0.0
2025-05-10,jose aldo,aiemann zahabi,0.0
2025-05-10,marc andre barriault,bruno silva,1.0
2025-05-10,mike malott,charles radtke,1.0
2025-05-10,modestas bukauskas,ion cutelaba,1.0
2025-05-10,navajo stirling,ivan erslan,1.0
2025-05-10,valentina shevchenko,manon fiorot,1.0
2025-05-17,dustin stoltzfus,nursulton ruziboev,0.0
2025-05-17,elise reed,denise gomes,0.0
2025-05-17,gilbert burns,michael morales,0.0
2025-05-17,jared gordon,thiago moises,1.0
2025-05-17,julian erosa,melquizael costa,0.0
2025-05-17,luana santos,tainara lisboa,1.0
2025-05-17,sodiq yusuff,mairon santos,0.0
2025-05-17,tecia pennington,luana pinheiro,1.0
2025-05-31,billy ray goff,ramiz brahimaj,0.0
2025-05-31,dustin jacoby,bruno lopes,1.0
2025-05-31,jafel filho,allan nascimento,0.0
2025-05-31,ketlen vieira,macy chiasson,1.0
2025-05-31,kurt holobaugh,jordan leavitt,0.0
2025-05-31,mateusz gamrot,ludovit klein,1.0
2025-06-07,ariane da silva,wang cong,0.0
2025-06-07,bruno silva,joshua van,0.0
2025-06-07,julianna pena,kayla harrison,0.0
2025-06-07,kelvin gastelum,joe pyfer,0.0
2025-06-07,merab dvalishvili,sean omalley,1.0
2025-06-07,quillan salkilld,yanal ashmouz,1.0
2025-06-07,serghei spivac,waldo cortes acosta,0.0
2025-06-07,vicente luque,kevin holland,0.0
2025-06-14,alonzo menifield,oumar sy,1.0
2025-06-14,cody garbrandt,raoni barcelos,0.0
2025-06-14,edmen shahbazyan,andre petroski,1.0
