event_number,date,target_pct_opening_ev,p025_bankroll,median_bankroll,p95_bankroll,p975_bankroll,mean_bankroll,fraction_below_floor
47,2025-06-14,60,17899.553948394267,26604.663819710022,36581.99195031678,38650.98511123369,27094.566021244264,0.0
48,2025-06-21,60,12065.501678408575,20692.239299061283,30984.39677725107,33449.58254819435,21276.271610734617,0.0
49,2025-06-28,60,14472.819714770265,24720.001333687578,37010.38260009631,39937.21443817175,25455.52097544411,0.0
50,2025-07-12,60,16084.795431461585,27425.82153917419,41070.110537563014,44297.84056077149,28238.8743849999,0.0
51,2025-07-19,60,15491.794126780906,26423.283846191036,39572.258736524775,42745.690528494066,27209.451481754364,0.0
52,2025-07-26,60,15123.202048133036,25733.720127751603,39083.22675822691,42218.02917470424,26530.904863804284,0.0
53,2025-08-02,60,20202.865563863455,34400.22110475215,52175.56388772224,56152.027988269125,35420.25359733833,0.0
54,2025-08-09,60,22229.216456596783,37967.0013956169,57505.60546959298,62086.39386375913,39101.278993139465,0.0
55,2025-08-16,60,19688.729747191996,33499.56725576367,51154.76107428998,54746.079226414746,34505.81071509699,0.0
56,2025-08-23,60,20143.119662018304,34315.32935436653,52071.80017785489,55794.16449312803,35286.743271036634,0.0
57,2025-09-06,60,19664.650258763435,33530.7207879677,50811.76600505934,54614.817822234414,34507.62329790659,0.0
58,2025-09-13,60,22521.79064613024,38585.12806767161,58424.11136487294,63087.22670044184,39642.18588429471,0.0
59,2025-09-27,60,24968.46142330229,43143.320142886696,65200.868032259306,70560.74552078673,44240.96365326512,0.0
60,2025-10-04,60,28726.43178525094,49727.95470054107,75503.0751744438,81549.30489060406,51034.01909061879,0.0
61,2025-10-11,60,29693.034267266397,51353.646649906805,78421.44907236523,84550.72658569383,52693.65309144206,0.0
62,2025-10-18,60,27179.90045881023,47112.9821937665,72062.87216232266,78137.82213908408,48427.75381792665,0.0
63,2025-10-25,60,23830.770056065776,42095.22650930429,64512.690653288366,69902.98293590681,43204.77711149989,0.0
64,2025-11-01,60,28651.065423849854,50145.93422139219,77052.5723184362,84085.96017215065,51576.491883826275,0.0
65,2025-11-08,60,28851.2719349492,50947.93430150742,79110.4592488998,85960.88021650308,52553.22311989497,0.0
66,2025-11-15,60,35012.81953118307,61698.7829339568,95656.29885002834,103801.629586085,63617.6008189956,0.0
67,2025-11-22,60,39233.00040616338,69403.79884732873,107590.62965610334,116837.76419674436,71643.80308528742,0.0
68,2025-12-06,60,33656.96452241055,60198.42084332269,94151.52417275857,101791.7247880732,62117.23697470201,0.0
69,2025-12-13,60,34158.82281141603,61378.3229062383,96601.05129912277,104757.58051016813,63432.84431233321,0.0
70,2026-01-24,60,33719.98049284134,61214.356812818354,96221.14962762101,104297.40503969163,63100.18584679372,0.0
71,2026-01-31,60,38905.428349796544,70338.04696803619,111154.92114903528,120548.8206213739,72808.61378279146,0.0
72,2026-02-07,60,32833.89420066552,59618.787283045924,94127.70497693362,102227.26726270095,61557.03452275066,0.0
73,2026-02-21,60,35117.268531123525,63542.39507111655,100266.12921405958,109568.47459099903,65812.59191623412,0.0
0,start,70,500.0,500.0,500.0,500.0,500.0,0.0
1,2024-05-11,70,511.71027787772994,518.0323824529505,520.8175238367625,521.3879363820272,517.5495990050354,0.0
2,2024-05-18,70,450.3887281349774,475.35411597755274,495.4294907348227,501.4202984224552,475.73717397952805,0.0
3,2024-06-01,70,578.9322419135037,611.6330637735409,638.3818943658487,645.8872040247937,611.7973439613553,0.0
4,2024-06-08,70,670.0871760762976,710.9001618835696,746.3077338218438,754.2703960168651,711.1029993157689,0.0
5,2024-06-15,70,916.4128966041742,973.928989118464,1024.4199543410898,1035.6748061288347,974.5322595819928,0.0
6,2024-06-22,70,985.806359855013,1048.578360281154,1102.8037738659752,1114.8233043196408,1049.1583185370182,0.0
7,2024-06-29,70,1226.4019631653532,1304.9513247658147,1374.4591789948788,1388.7942807064449,1306.0685714658782,0.0
8,2024-07-13,70,1275.1349658355628,1367.6528765116136,1579.1137261983004,1629.4154341547746,1388.684011042329,0.0
9,2024-07-20,70,1379.773997824294,1486.2660394648374,1713.0264597034654,1767.396143641619,1508.7710729436026,0.0
10,2024-07-27,70,1519.1312066400312,1652.94864580894,1909.8938533389044,1966.273840848573,1675.5745990814985,0.0
11,2024-08-03,70,1306.7085549267229,1476.7412868255124,1707.198082996817,1769.5264799982317,1489.4753178950136,0.0
12,2024-08-10,70,1519.2774530213383,1719.3059626476038,1989.249687550766,2071.64232384156,1736.4123382218995,0.0
13,2024-08-17,70,1693.7468601361493,1921.7842598243844,2229.0060797626606,2307.6342506741357,1940.885642250368,0.0
14,2024-08-24,70,1798.4062127069424,2050.4125008755464,2375.5488049956107,2479.603041704554,2069.81088335645,0.0
15,2024-09-07,70,1988.7695491261325,2290.8038657623856,2674.9347325612125,2769.1990605956153,2312.015489429511,0.0
16,2024-09-14,70,2719.2779228096515,3141.6825886347256,3677.7828630038066,3802.581847452475,3170.8547440931948,0.0
17,2024-09-28,70,3112.35280353204,3604.2373075218493,4217.341782449598,4379.113997105285,3637.3649527320968,0.0
18,2024-10-05,70,3183.033770314274,3701.671079859867,4344.688085005145,4508.542946280056,3735.7559910005943,0.0
19,2024-10-12,70,2653.5121833799885,3148.97044458605,3713.755759743816,3862.130474613954,3172.537247825789,0.0
20,2024-10-19,70,2924.4323335623812,3494.379638066164,4170.127255730376,4329.213059382697,3528.420057720411,0.0
21,2024-10-26,70,3980.9644500539825,4752.746500807829,5676.849053590148,5898.683079592093,4798.052121925407,0.0
22,2024-11-02,70,5589.553533724578,6671.68502404412,7970.525664461898,8278.456327928667,6733.028593128404,0.0
23,2024-11-09,70,5603.458354396481,6703.226069195243,8016.28086146003,8297.816598051759,6763.66689779911,0.0
24,2024-11-16,70,5214.026363755017,6302.035060997332,7572.004518327841,7905.62982895623,6361.6488885260505,0.0
25,2024-11-23,70,5214.026363755017,6302.035060997332,7572.004518327841,7905.62982895623,6361.6488885260505,0.0
26,2024-12-07,70,5219.27480123032,6436.101654879638,7793.912612032666,8125.068766113846,6490.6336260596645,0.0
27,2024-12-14,70,4556.079492731044,5995.085868698643,7477.679365160909,7806.062942313158,6035.196478185053,0.0
28,2025-01-11,70,4673.6920889323565,6154.124057885376,7674.106654556188,8017.413464657972,6196.36388011681,0.0
29,2025-01-18,70,5775.371695797904,7632.048841889815,9598.426147496722,10017.266094839008,7690.684165081821,0.0
30,2025-02-01,70,7739.0697680944295,10223.821452145188,12929.444408536858,13469.4342823145,10317.145657207533,0.0
31,2025-02-08,70,9976.24220830561,13190.074566386993,16686.159134302878,17378.82715929264,13318.166107908592,0.0
32,2025-02-15,70,8532.783446874166,11630.749868356697,15004.970697881918,15690.9867816809,11769.512799579094,0.0
33,2025-02-22,70,9662.822044709921,13208.50296798455,17097.86188754662,17850.957960755306,13374.511581582508,0.0
34,2025-03-01,70,11731.57122885056,16046.02648061196,20770.087325005625,21665.22597072246,16257.665601906723,0.0
35,2025-03-08,70,10958.649430873771,15033.350056894718,19502.280671006945,20488.351359991484,15224.817501869353,0.0
36,2025-03-15,70,11949.404067857144,16427.654037213615,21353.87847105389,22433.71296191084,16654.753943001295,0.0
37,2025-03-22,70,12027.566348201697,16518.997347253666,21435.79271692655,22666.50191747083,16753.982547419953,0.0
38,2025-03-29,70,15699.164545305084,21539.262771021262,28043.432906259517,29599.458644523518,21867.27423488174,0.0
39,2025-04-05,70,16768.31468095944,23034.82627258861,29963.915501818272,31632.869932076042,23384.444155686135,0.0
40,2025-04-12,70,12936.259867672741,18422.188289414982,24356.106151943117,25674.917073875848,18679.910479940063,0.0
