date,bin_low_pct,bin_high_pct,units,n_scenarios,sample_min,p05,median,p95,sample_max
2024-06-15,90,95,percent_of_opening_ev,261,24.955342445982133,28.09341391290372,30.610108669538036,32.34728161127575,32.62326003132578
2024-06-15,95,100,percent_of_opening_ev,258,28.773679510452023,30.51133048986129,32.07738557825601,32.62326003132578,32.62326003132578
2024-06-22,0,5,percent_of_opening_ev,246,1.1116599739996342,1.1116599739996342,1.147366846157014,1.4974665590471223,2.2241098727038366
2024-06-22,5,10,percent_of_opening_ev,229,1.1116599739996342,1.1116599739996342,1.3239938363726884,2.031405934604563,5.061680641263805
2024-06-22,10,15,percent_of_opening_ev,236,1.1116599739996342,1.1116599739996342,1.4630227502633653,2.8065168428875955,7.932141784480845
2024-06-22,15,20,percent_of_opening_ev,250,1.1116599739996342,1.147366846157014,1.7015170917162168,3.7239490179344577,9.790747163195324
2024-06-22,20,25,percent_of_opening_ev,244,1.1116599739996342,1.3937595619908485,1.9361506699218372,5.597050136203698,9.932810621839918
2024-06-22,25,30,percent_of_opening_ev,271,1.1116599739996342,1.3936967448977868,2.1284786706275516,7.1285802015169875,12.793237421904786
2024-06-22,30,35,percent_of_opening_ev,246,1.1116599739996342,1.7434557057360185,2.565920816549571,7.796302727639186,12.338430437924824
2024-06-22,35,40,percent_of_opening_ev,240,1.1829461991911705,1.8665129203443585,3.1023003604748527,8.57863085704689,12.834022097438114
2024-06-22,40,45,percent_of_opening_ev,282,1.3937595619908485,2.254693374768835,4.478193474737669,12.299413706171658,15.94477799530162
2024-06-22,45,50,percent_of_opening_ev,254,1.6339960753286986,2.778968681904658,5.33249034485943,12.264754658195892,15.764325082202642
2024-06-22,50,55,percent_of_opening_ev,220,2.4430904399828126,3.219779743950847,6.413332150021956,12.857882464164222,17.169204577244482
2024-06-22,55,60,percent_of_opening_ev,251,2.4430904399828126,3.9649763400982776,7.785389597558405,14.700959172037653,17.841181203695545
2024-06-22,60,65,percent_of_opening_ev,265,3.6522326627001283,5.663830756405366,9.318516543662515,15.202816330152578,19.292588625038558
2024-06-22,65,70,percent_of_opening_ev,245,3.5101397239226686,6.399842680556817,10.747732206033675,16.3792709503802,20.636418944234496
2024-06-22,70,75,percent_of_opening_ev,245,4.831194540939178,8.771185047994631,12.265269315750128,18.14974588356694,21.612707748301137
2024-06-22,75,80,percent_of_opening_ev,245,6.117475290109594,9.651652859262322,14.177395747973758,19.95677144106306,22.19047362588085
2024-06-22,80,85,percent_of_opening_ev,250,9.15187114811297,12.416880372678905,16.050254382897087,20.26269287781899,23.026390986102854
2024-06-22,85,90,percent_of_opening_ev,264,11.224118856026358,14.980308498343218,18.3944491843344,22.125799529692735,23.984627940066442
2024-06-22,90,95,percent_of_opening_ev,258,13.35448503257662,17.753362765282642,20.21574771609012,22.63958435518456,23.960325986234615
2024-06-22,95,100,percent_of_opening_ev,259,19.088427701918484,20.932374127327144,22.688763584191065,23.874909550688088,23.984627940066442
2024-06-29,0,5,percent_of_opening_ev,256,35.914204567182416,35.914204567182416,36.84739827520666,40.6997294958023,49.75163990884015
2024-06-29,5,10,percent_of_opening_ev,259,35.914204567182416,35.914204567182416,38.96095136845573,46.23181049651353,57.61130463539813
2024-06-29,10,15,percent_of_opening_ev,253,35.914204567182416,36.32384893318427,41.98718725182376,51.87612198905583,60.538442127447915
2024-06-29,15,20,percent_of_opening_ev,255,35.89736876030533,37.16197536873255,44.6426795563203,52.45408330124369,59.00139384889492
2024-06-29,20,25,percent_of_opening_ev,262,36.079290405108324,38.69247622070497,46.52072886481426,54.824149730832815,61.14561672582437
2024-06-29,25,30,percent_of_opening_ev,225,35.425166292773206,38.76774148513385,48.68606184869113,56.08639488795638,61.345758379244536
2024-06-29,30,35,percent_of_opening_ev,260,35.914204567182416,38.64594942152508,50.17970926929068,58.52185484567929,61.170606292449094
2024-06-29,35,40,percent_of_opening_ev,244,36.69065479754123,39.77688932517291,51.926762982208416,58.16022895341543,61.31421492065188
2024-06-29,40,45,percent_of_opening_ev,235,37.58464735228936,43.648882889096626,53.626834857033536,60.53932072877852,62.15603126752231
2024-06-29,45,50,percent_of_opening_ev,253,38.61104861249172,43.32063684493193,54.504543068166775,58.809838641713625,62.13653229479789
2024-06-29,50,55,percent_of_opening_ev,238,39.83369344986885,46.59056912983506,56.29307736780113,60.61994199872286,62.035294133571725
2024-06-29,55,60,percent_of_opening_ev,248,37.764907627815624,45.50303172824848,57.02514211734872,61.102412956139325,62.891001666844254
