date,stage,policy,switched,event_return
2025-04-26,close2,positive_ev_gain,True,0.0699980687899856
2025-05-03,close2,positive_ev_gain,False,0.7187235300400592
2025-06-07,close2,positive_ev_gain,True,-0.21511752663341957
2025-06-14,close2,positive_ev_gain,False,0.35617383897631427
2025-06-21,close2,positive_ev_gain,False,-0.11811369090937693
2025-06-28,close2,positive_ev_gain,True,0.48925096603927165
2025-04-12,close2,positive_bankroll_ev_gain,True,-0.18602614968209077
2025-04-26,close2,positive_bankroll_ev_gain,True,0.0699980687899856
2025-05-03,close2,positive_bankroll_ev_gain,False,0.7187235300400592
2025-06-07,close2,positive_bankroll_ev_gain,False,0.21683421696986444
2025-06-14,close2,positive_bankroll_ev_gain,False,0.35617383897631427
2025-06-21,close2,positive_bankroll_ev_gain,False,-0.11811369090937693
2025-06-28,close2,positive_bankroll_ev_gain,False,0.39147389419285833
2025-04-12,close2,positive_expected_log_gain,True,-0.18602614968209077
2025-04-26,close2,positive_expected_log_gain,True,0.0699980687899856
2025-05-03,close2,positive_expected_log_gain,False,0.7187235300400592
2025-06-07,close2,positive_expected_log_gain,False,0.21683421696986444
2025-06-14,close2,positive_expected_log_gain,False,0.35617383897631427
2025-06-21,close2,positive_expected_log_gain,False,-0.11811369090937693
2025-06-28,close2,positive_expected_log_gain,False,0.39147389419285833
2025-07-12,close2,learned,False,0.25444593195829723
2025-07-26,close2,learned,False,-0.19356225444354633
2025-07-12,close2,keep_open,False,0.25444593195829723
2025-07-26,close2,keep_open,False,-0.19356225444354633
2025-07-12,close2,always_switch,True,0.26768078686747804
2025-07-26,close2,always_switch,True,0.44098494368257113
2025-07-12,close2,positive_ev_gain,True,0.26768078686747804
2025-07-26,close2,positive_ev_gain,True,0.44098494368257113
2025-07-12,close2,positive_bankroll_ev_gain,False,0.25444593195829723
2025-07-26,close2,positive_bankroll_ev_gain,False,-0.19356225444354633
2025-07-12,close2,positive_expected_log_gain,False,0.25444593195829723
2025-07-26,close2,positive_expected_log_gain,False,-0.19356225444354633
2025-10-18,close2,learned,False,-0.14343897326632785
2025-10-25,close2,learned,True,-0.1430041948536081
2025-11-08,close2,learned,False,-0.21741915941155
2025-11-15,close2,learned,False,0.13422729589921004
2025-11-22,close2,learned,False,-0.18616120547922382
2025-12-06,close2,learned,True,-0.11510148315596301
2025-12-13,close2,learned,True,-0.18240529708397885
2025-10-18,close2,keep_open,False,-0.14343897326632785
2025-10-25,close2,keep_open,False,0.25759800541920447
2025-11-08,close2,keep_open,False,-0.21741915941155
2025-11-15,close2,keep_open,False,0.13422729589921004
2025-11-22,close2,keep_open,False,-0.18616120547922382
2025-12-06,close2,keep_open,False,-0.1671491600371296
2025-12-13,close2,keep_open,False,0.15029810526664344
2025-10-18,close2,always_switch,True,-0.14151309485160762
2025-10-25,close2,always_switch,True,-0.1430041948536081
2025-11-08,close2,always_switch,True,0.32339194613861205
2025-11-15,close2,always_switch,True,0.22188235565665554
2025-11-22,close2,always_switch,True,-0.18675174809993228
2025-12-06,close2,always_switch,True,-0.11510148315596301
2025-12-13,close2,always_switch,True,-0.18240529708397885
2025-10-18,close2,positive_ev_gain,True,-0.14151309485160762
2025-10-25,close2,positive_ev_gain,True,-0.1430041948536081
2025-11-08,close2,positive_ev_gain,True,0.32339194613861205
2025-11-15,close2,positive_ev_gain,True,0.22188235565665554
2025-11-22,close2,positive_ev_gain,True,-0.18675174809993228
2025-12-06,close2,positive_ev_gain,True,-0.11510148315596301
2025-12-13,close2,positive_ev_gain,True,-0.18240529708397885
2025-10-18,close2,positive_bankroll_ev_gain,True,-0.14151309485160762
2025-10-25,close2,positive_bankroll_ev_gain,True,-0.1430041948536081
2025-11-08,close2,positive_bankroll_ev_gain,True,0.32339194613861205
2025-11-15,close2,positive_bankroll_ev_gain,True,0.22188235565665554
2025-11-22,close2,positive_bankroll_ev_gain,True,-0.18675174809993228
2025-12-06,close2,positive_bankroll_ev_gain,True,-0.11510148315596301
2025-12-13,close2,positive_bankroll_ev_gain,True,-0.18240529708397885
2025-10-18,close2,positive_expected_log_gain,True,-0.14151309485160762
2025-10-25,close2,positive_expected_log_gain,True,-0.1430041948536081
2025-11-08,close2,positive_expected_log_gain,True,0.32339194613861205
2025-11-15,close2,positive_expected_log_gain,True,0.22188235565665554
2025-11-22,close2,positive_expected_log_gain,True,-0.18675174809993228
2025-12-06,close2,positive_expected_log_gain,True,-0.11510148315596301
2025-12-13,close2,positive_expected_log_gain,True,-0.18240529708397885
2026-01-24,close2,learned,False,0.14930693283318067
2026-01-31,close2,learned,False,0.14630195432447352
2026-01-24,close2,keep_open,False,0.14930693283318067
2026-01-31,close2,keep_open,False,0.14630195432447352
2026-01-24,close2,always_switch,True,-0.19286405223962189
2026-01-31,close2,always_switch,True,0.17880150019017965
2026-01-24,close2,positive_ev_gain,True,-0.19286405223962189
2026-01-31,close2,positive_ev_gain,True,0.17880150019017965
2026-01-24,close2,positive_bankroll_ev_gain,True,-0.19286405223962189
2026-01-31,close2,positive_bankroll_ev_gain,False,0.14630195432447352
2026-01-24,close2,positive_expected_log_gain,True,-0.19286405223962189
2026-01-31,close2,positive_expected_log_gain,False,0.14630195432447352
