date,fighter_red,fighter_blue,pred_winner_close,winner_close,close1_red,close1_blue,pred_winner_open,winner_open,open_red,open_blue,choice_fighter,close_american,same_choice_open_american,open_pick_american,close_decimal,same_choice_open_decimal,open_pick_decimal,close_win,open_win,odds_type,bin_low,close2_red,close2_blue
2024-09-07,jaqueline amorim,vanessa demopoulos,1,1.0,-305.0,210.0,1,1.0,-500.0,380.0,jaqueline amorim,-305.0,-500.0,-500.0,1.3278688524590163,1.2,1.2,True,True,close1,-350,,
2024-09-07,jessica andrade,natalia silva,0,0.0,210.0,-300.0,0,0.0,124.0,-148.0,natalia silva,-300.0,-148.0,-148.0,1.3333333333333333,1.6756756756756757,1.6756756756756757,True,True,close1,-300,,
2024-09-07,matt schnell,cody durden,0,0.0,220.0,-315.0,0,0.0,240.0,-305.0,cody durden,-315.0,-305.0,-305.0,1.3174603174603174,1.3278688524590163,1.3278688524590163,True,True,close1,-350,,
2024-09-07,steve garcia,kyle nelson,1,1.0,-225.0,163.0,1,1.0,-150.0,110.0,steve garcia,-225.0,-150.0,-150.0,1.4444444444444444,1.6666666666666665,1.6666666666666665,True,True,close1,-250,,
2024-09-07,trevor peek,yanal ashmouz,1,0.0,-125.0,-125.0,1,0.0,-110.0,-110.0,trevor peek,-125.0,-110.0,-110.0,1.8,1.9090909090909092,1.9090909090909092,False,False,close1,-150,,
2024-09-14,alexa grasso,valentina shevchenko,1,0.0,-138.0,105.0,1,0.0,-117.0,-107.0,alexa grasso,-138.0,-117.0,-117.0,1.7246376811594204,1.8547008547008548,1.8547008547008548,False,False,close1,-150,,
2024-09-14,brian ortega,diego lopes,0,0.0,150.0,-225.0,0,0.0,120.0,-150.0,diego lopes,-225.0,-150.0,-150.0,1.4444444444444444,1.6666666666666665,1.6666666666666665,True,True,close1,-250,,
2024-09-14,daniel zellhuber,esteban ribovics,1,0.0,-210.0,160.0,1,0.0,-175.0,130.0,daniel zellhuber,-210.0,-175.0,-175.0,1.4761904761904763,1.5714285714285714,1.5714285714285714,False,False,close1,-250,,
2024-09-14,edgar chairez,joshua van,0,0.0,210.0,-300.0,0,0.0,180.0,-230.0,joshua van,-300.0,-230.0,-230.0,1.3333333333333333,1.434782608695652,1.434782608695652,True,True,close1,-300,,
2024-09-14,irene aldana,norma dumont,0,0.0,-112.0,-135.0,0,0.0,-110.0,-120.0,norma dumont,-135.0,-120.0,-120.0,1.7407407407407407,1.8333333333333335,1.8333333333333335,True,True,close1,-150,,
2024-09-14,manuel torres,ignacio bahamondes,1,0.0,-145.0,106.0,0,0.0,130.0,-175.0,manuel torres,-145.0,130.0,-175.0,1.6896551724137931,2.3,1.5714285714285714,False,True,close1,-150,,
2024-09-14,raul rosas jr,aoriqileng,1,1.0,-1000.0,600.0,1,1.0,-455.0,350.0,raul rosas jr,-1000.0,-455.0,-455.0,1.1,1.2197802197802199,1.2197802197802199,True,True,close1,-1000,,
2024-09-14,ronaldo rodriguez,ode osbourne,1,1.0,-230.0,150.0,1,1.0,-163.0,120.0,ronaldo rodriguez,-230.0,-163.0,-163.0,1.434782608695652,1.6134969325153374,1.6134969325153374,True,True,close1,-250,,
