odds_type,bin_low,bin_high_exclusive,n_bets,n_events,close_wins,open_wins,different_picks,mean_close_american,close_roi_pct,open_target_roi_pct,initial_gap_pp,same_close_picks_at_open_roi_pct,required_adjustment,status,matched_roi_pct,mean_decimal_increase,mean_raw_american_change,mean_adjusted_american,roi_at_limit_pct,roi_gain_pp_first_step,average_gap_closed_pp_per_point
close2,-950,-900,4,4,3,3,0,-940.0,-16.989589358010416,-15.79077701959058,1.1988123384198364,-15.79077701959058,121.82210413093831,matched,-15.79077701959058,0.015859084999500728,121.82210413093813,-818.1778958690619,3172.5,0.08651607195841038,0.009840679956827164
close2,-900,-850,1,1,1,1,0,-900.0,11.111111111111116,11.111111111111116,0.0,11.111111111111116,0.0,already_at_or_above_open,11.111111111111116,0.0,4.547473508864641e-13,-899.9999999999995,4300.0,0.12484394506866359,
close2,-850,-800,2,2,2,2,0,-842.5,11.870376893272283,31.269113149847094,19.39873625657481,31.269113149847094,522.5198068910811,matched,31.269113149847083,0.193987362565748,522.5198068910811,-319.98019310891897,4357.5,0.1426101197147247,0.037125360609762424
close2,-800,-750,8,8,8,8,0,-785.0,12.743506493506496,19.95543845953682,7.211931966030322,19.95543845953682,283.4348779962784,matched,19.95543845953681,0.07211931966030316,283.43487799627826,-501.56512200372174,4415.0,0.1645547989651881,0.025444758305733346
close2,-750,-700,3,2,3,3,0,-728.3333333333334,13.73607873607873,21.164650257266025,7.428571521187296,21.164650257266025,255.35280371371869,matched,21.164650257266025,0.07428571521187292,255.35280371371869,-472.98052961961463,4471.666666666666,0.19139383688380285,0.029091403787818288
close2,-700,-650,1,1,1,1,0,-700.0,14.28571428571428,16.666666666666675,2.3809523809523956,16.666666666666675,100.00000000000028,matched,16.666666666666675,0.023809523809523947,100.00000000000023,-599.9999999999998,4500.0,0.2070393374741233,0.023809523809523888
close2,-650,-600,11,9,9,9,0,-646.3636363636364,-5.509491254309579,0.6725780957757485,6.182069350085328,0.6725780957757485,211.62846983458525,matched,0.6725780957757463,0.07537621391716315,211.62846983458513,-434.73516652905124,3708.0,0.19940587033825974,0.029211898356196628
close2,-600,-550,6,6,5,5,0,-578.3333333333334,-2.182539682539679,3.1293991778816346,5.311938860421313,3.1293991778816346,154.1476068706994,matched,3.1293991778816386,0.06311004654284443,154.14760687069938,-424.18572646263397,3836.6666666666665,0.25649962090639966,0.03446007997306778
close2,-550,-500,11,11,11,11,0,-539.4545454545455,18.54993235171335,23.171013062570164,4.621080710856816,23.171013062570164,107.41693736655905,matched,23.171013062570164,0.04621080710856815,107.4169373665592,-432.0376080879863,4660.545454545454,0.3508595215543586,0.043020037846428556
close2,-500,-450,22,20,19,18,1,-487.04545454545456,4.081267106139646,6.567344261580002,2.4860771554403565,20.203707897943637,59.91534884214697,matched,6.567344261580363,0.028905764218646244,59.91534884214689,-427.13010570330755,4055.909090909091,0.3714596247043733,0.04149315999127665
