title_fight,event_name,event_date,event_location,fight_url,weight_class,method,round,fight_time,performance_bonus_winner,fight_otn_bonus,winner,fighter_red,fighter_blue,record_red,record_blue,dob_red,dob_blue,height_red,height_blue,reach_red,reach_blue,stance_red,stance_blue,kd_red,kd_blue,sig_str_red,sig_str_blue,sig_str_percent_red,sig_str_percent_blue,td_red,td_blue,td_pct_red,td_pct_blue,clinch_red,clinch_blue,ground_red,ground_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_red,head_blue,body_red,body_blue,leg_red,leg_blue,distance_red,distance_blue,total_strikes_red,total_strikes_blue
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/9e525f939fba3e73,Featherweight,U-DEC,3,5:00,0,0,Ezra Elliott,Ezra Elliott,Damien Anderson,8-0-0,5-1-0,"May 18, 2000","Jan 04, 1997","5' 9""","5' 8""","72""","69""",Orthodox,Southpaw,0,0,6 of 11,7 of 20,54%,35%,12 of 18,0 of 2,66%,0%,0 of 1,3 of 4,4 of 4,2 of 8,3,1,0,0,11:01,0:47,4 of 8,5 of 16,1 of 2,2 of 2,1 of 1,0 of 2,2 of 6,2 of 8,21 of 29,23 of 37
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/410e6b9e01660b35,Flyweight,U-DEC,3,5:00,0,0,Alden Coria,Alden Coria,Stewart Nicoll,13-3-0 (1 NC),8-4-0,"Apr 24, 1998","Nov 04, 1994","5' 8""","5' 5""","67""","65""",Orthodox,Orthodox,0,0,44 of 127,28 of 90,34%,31%,3 of 5,5 of 9,60%,55%,1 of 1,0 of 0,1 of 1,0 of 0,4,0,0,0,2:17,4:17,35 of 118,20 of 77,8 of 8,4 of 7,1 of 1,4 of 6,42 of 125,28 of 90,60 of 144,32 of 94
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/e05155c1b5c2dc74,Heavyweight,"KO/TKO, Punch",1,1:40,0,0,RJ Harris,RJ Harris,Alvin Hines,6-0-0,7-2-0,"Oct 01, 1998","Oct 20, 1991","6' 3""","6' 2""","78""","74""",Orthodox,Orthodox,1,0,15 of 26,11 of 25,57%,44%,0 of 0,0 of 0,---,---,0 of 0,0 of 0,8 of 15,0 of 0,0,0,0,0,0:10,0:00,12 of 23,0 of 5,0 of 0,2 of 7,3 of 3,9 of 13,7 of 11,11 of 25,17 of 28,11 of 25
0,UFC Fight Night: Du Plessis vs. Usman,2026-07-18," Oklahoma City, Oklahoma, USA",http://ufcstats.com/fight-details/307ea95ad7ebe466,Women's Flyweight,"SUB, Rear Naked Choke",1,4:04,0,0,Dione Barbosa,Anna Melisano,Dione Barbosa,6-2-0,10-4-0,"May 20, 1997","May 08, 1992","5' 4""","5' 6""","68""","66""",Orthodox,Orthodox,0,0,2 of 6,5 of 7,33%,71%,0 of 0,1 of 2,---,50%,0 of 0,2 of 2,0 of 0,2 of 3,0,2,0,0,0:00,3:31,1 of 4,2 of 4,0 of 1,3 of 3,1 of 1,0 of 0,2 of 6,1 of 2,6 of 10,22 of 29
0,UFC 329: McGregor vs. Holloway 2,2026-07-11," Las Vegas, Nevada, USA",http://ufcstats.com/fight-details/989760fa75321d69,Welterweight,KO/TKO,1,1:09,0,0,Max Holloway,Conor McGregor,Max Holloway,22-7-0,28-9-0,"Jul 14, 1988","Dec 04, 1991","5' 9""","5' 11""","74""","69""",Southpaw,Orthodox,0,0,0 of 6,12 of 19,0%,63%,0 of 0,0 of 0,---,---,0 of 1,0 of 0,0 of 0,7 of 13,0,0,0,0,0:00,0:37,0 of 6,8 of 15,0 of 0,0 of 0,0 of 0,4 of 4,0 of 5,5 of 6,5 of 11,14 of 22
0,UFC 329: McGregor vs. Holloway 2,2026-07-11," Las Vegas, Nevada, USA",http://ufcstats.com/fight-details/130b325610c54a64,Lightweight,"SUB, D'Arce Choke",1,0:52,1,0,Paddy Pimblett,Benoit Saint Denis,Paddy Pimblett,17-4-0 (1 NC),24-4-0,"Dec 18, 1995","Jan 03, 1995","5' 11""","5' 10""","73""","73""",Southpaw,Orthodox,0,0,1 of 3,4 of 5,33%,80%,0 of 1,0 of 0,0%,---,0 of 0,0 of 0,0 of 0,0 of 0,0,1,0,0,0:04,0:37,1 of 3,2 of 3,0 of 0,0 of 0,0 of 0,2 of 2,1 of 3,4 of 5,1 of 3,4 of 5
0,UFC 329: McGregor vs. Holloway 2,2026-07-11," Las Vegas, Nevada, USA",http://ufcstats.com/fight-details/c572daedf2012a49,Bantamweight,U-DEC,3,5:00,0,0,Mario Bautista,Cory Sandhagen,Mario Bautista,18-7-0,18-3-0,"Apr 20, 1992","Jul 01, 1993","5' 11""","5' 9""","70""","69""",Switch,Switch,0,1,89 of 176,114 of 185,50%,61%,1 of 4,8 of 20,25%,40%,16 of 22,17 of 18,0 of 0,15 of 22,0,3,0,0,1:13,3:21,70 of 150,76 of 141,9 of 16,20 of 24,10 of 10,18 of 20,73 of 154,82 of 145,104 of 196,143 of 215
0,UFC 329: McGregor vs. Holloway 2,2026-07-11," Las Vegas, Nevada, USA",http://ufcstats.com/fight-details/a3ab1979192b647c,Flyweight,"SUB, Rear Naked Choke",3,3:40,0,1,Brandon Royval,Brandon Royval,Lone'er Kavanagh,18-9-0,10-2-0,"Aug 16, 1992","Jun 09, 1999","5' 9""","5' 6""","68""","67""",Southpaw,Orthodox,0,1,84 of 152,56 of 94,55%,59%,3 of 6,1 of 2,50%,50%,11 of 13,10 of 13,18 of 22,12 of 20,2,1,0,0,4:53,2:09,78 of 146,31 of 63,4 of 4,17 of 19,2 of 2,8 of 12,55 of 117,34 of 61,146 of 218,63 of 101
0,UFC 329: McGregor vs. Holloway 2,2026-07-11," Las Vegas, Nevada, USA",http://ufcstats.com/fight-details/a26ea74f2e908842,Lightweight,"KO/TKO, Punch",1,4:59,1,0,King Green,King Green,Terrance McKinney,36-17-1 (1 NC),18-9-0,"Sep 09, 1986","Sep 15, 1994","5' 10""","5' 10""","71""","73""",Orthodox,Switch,1,0,43 of 72,45 of 80,59%,56%,0 of 0,1 of 1,---,100%,0 of 2,2 of 3,8 of 11,18 of 19,0,0,0,0,0:03,2:12,18 of 43,40 of 75,20 of 24,5 of 5,5 of 5,0 of 0,35 of 59,25 of 58,57 of 86,59 of 96
0,UFC 329: McGregor vs. Holloway 2,2026-07-11," Las Vegas, Nevada, USA",http://ufcstats.com/fight-details/7765e5e779dd7dc9,Light Heavyweight,"KO/TKO, Punch",3,1:01,0,0,Robert Whittaker,Nikita Krylov,Robert Whittaker,31-12-0,28-9-0,"Mar 07, 1992","Dec 20, 1990","6' 3""","6' 0""","77""","73""",Orthodox,Orthodox,0,0,51 of 99,54 of 111,51%,48%,3 of 6,0 of 0,50%,---,6 of 7,3 of 6,0 of 0,0 of 0,0,0,0,0,2:10,0:00,21 of 62,54 of 111,17 of 23,0 of 0,13 of 14,0 of 0,45 of 92,51 of 105,57 of 106,55 of 112
