blue_fighter,open_blue,close1_blue,close2_blue,red_fighter,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
Axel Sola,-170,-212,-198,Ismael Bonfim,145,160,182,2026-07-25,Axel Sola,Ismael Bonfim
Joe Pyfer,-110,102,122,Israel Adesanya,-110,-145,-130,2026-03-29,Joe Pyfer,Israel Adesanya
Junior Tafa,-260,300,380,Iwo Baraniewski,220,-500,-400,2026-06-06,Junior Tafa,
Austen Lane,350,410,550,Iwo Baraniewski,-450,-800,-590,2026-03-21,Austen Lane,
Jamey-Lyn Horth,-260,-205,-150,Jj Aldrich,220,120,170,2026-04-18,Jamey-Lyn Horth,JJ Aldrich
Carlos Prates,-175,-120,-104,Jack Della Maddalena,150,-115,-105,2026-05-02,Carlos Prates,Jack Della Maddalena
Sedriques Dumas,130,140,165,Jackson McVey,-150,-210,-160,2026-04-25,Sedriques Dumas,Jackson McVey
Gerald Meerschaert,450,350,950,Jacob Malkoun,-600,-1800,-550,2026-05-02,Gerald Meerschaert,Jacob Malkoun
Josiah Harrell,385,235,265,Jacobe Smith,-500,-340,-275,2026-02-22,Josiah Harrell,Jacobe Smith
Cody Durden,330,400,500,Jafel Filho,-400,-715,-549,2026-04-25,Cody Durden,Jafel Filho
Carlston Harris,170,333,500,Jake Matthews,-200,-700,-450,2026-05-30,Carlston Harris,Jake Matthews
John Yannis,185,175,215,Jamie Siraj,-220,-265,-230,2026-04-18,John Yannis,Jamie Siraj
Christian Leroy Duncan,-325,-400,-300,Jared Cannonier,275,245,300,2026-07-18,Christian Leroy Duncan,Jared Cannonier
Israel Adesanya,-300,-700,-500,Jared Cannonier,250,355,460,2022-07-02,Christian Leroy Duncan,Jared Cannonier
Karine Silva,210,225,290,Jasmine Jasudavicius,-250,-370,-300,2026-04-19,Karine Silva,Jasmine Jasudavicius
Seok Hyun Ko,-250,-186,-170,Jean-Paul Lebosnoyani,210,140,152,2026-07-18,Seokhyeon Ko,Jean-Paul Lebosnoyani
Yuneisy Duben,600,210,230,Jeisla Chaves,-900,-295,-255,2026-06-06,Yuneisy Duben,Jeisla Chaves
Jared Gordon,-250,-280,-260,Jim Miller,210,210,230,2026-05-09,Jared Gordon,Jim Miller
Carlos Ulberg,-170,-125,-110,Jiri Prochazka,145,-112,105,2026-04-11,Carlos Ulberg,Jiri Prochazka
Yaroslav Amosov,170,-205,-175,Joel Alvarez,-200,140,170,2026-05-09,Yaroslav Amosov,Joel Alvarez
Mark Vologdin,-150,130,160,John Castaneda,130,-190,-158,2026-04-18,Mark Vologdin,John Castaneda
Themba Gorimbo,130,170,205,Jonathan Micallef,-150,-250,-220,2026-05-02,Themba Gorimbo,Jonathan Micallef
Joanderson Brito,-400,-188,-166,Jordan Leavitt,330,140,155,2026-06-06,Joanderson Brito,Jordan Leavitt
Yadier Del Valle,-500,-440,-370,Jordan Leavitt,385,295,340,2026-02-21,Yadier del Valle,Jordan Leavitt
Robert Ruchala,250,170,210,Jose Delano,-300,-280,-200,2026-04-04,Robert Ruchala,Jose Delano
Kevin Vallejos,-500,-560,-480,Josh Emmett,375,360,400,2026-03-14,Kevin Vallejos,Josh Emmett
Derrick Lewis,330,290,400,Josh Hokit,-400,-515,-385,2026-06-15,Derrick Lewis,Josh Hokit
Tatsuro Taira,-150,-175,-152,Joshua van,130,123,145,2026-05-09,Tatsuro Taira,Joshua Van
Lerryan Douglas,-350,-335,-280,Julian Erosa,285,235,250,2026-03-29,Lerryan Douglas,Julian Erosa
Carli Judice,-350,-900,-770,Juliana Miller,285,500,600,2026-02-21,Carli Judice,Juliana Miller
Robert Valentin,147,-186,-163,Julien Leblanc,-172,130,150,2026-04-18,Robert Valentin,Julien Leblanc
Kevin Christian,330,175,200,Junior Tafa,-400,-240,-213,2026-05-02,Kevin Christian,Junior Tafa
Javier Reyes,-175,-260,-220,Kaan Ofli,150,163,210,2026-06-27,Javier Reyes,
Cameron Smotherman,285,220,250,Kai Asakura,-350,-333,-260,2026-05-30,Cameron Smotherman,Kai Asakura
Dakota Hope,165,128,135,Kai Kamaka III,-190,-163,-155,2026-04-04,Dakota Hope,Kai Kamaka III
Luana Santos,100,-120,100,Karol Rosa,-120,-125,100,2026-06-20,Luana Santos,Karol Rosa
Vicente Luque,170,200,235,Kelvin Gastelum,-200,-290,-250,2026-04-11,Vicente Luque,Kelvin Gastelum
Ariane Carnelossi,250,250,300,Ketlen Souza,-300,-380,-320,2026-06-06,Ariane Carnelossi,Ketlen Souza
Jacqueline Cavalcanti,-160,-159,-150,Ketlen Vieira,140,120,135,2026-05-16,Jacqueline Cavalcanti,Ketlen Vieira
Randy Brown,-129,-110,118,Kevin Holland,109,-142,-110,2026-04-11,Randy Brown,Kevin Holland
Sean Strickland,300,310,375,Khamzat Chimaev,-400,-500,-410,2026-05-09,Sean Strickland,Khamzat Chimaev
Sean Strickland,160,175,175,Khamzat Chimaev,-185,-205,-205,,Sean Strickland,Khamzat Chimaev
Terrance McKinney,-205,-120,100,King Green,175,-120,100,2026-07-11,Terrance McKinney,King Green
Jeremy Stephens,170,300,375,King Green,-200,-500,-400,2026-05-09,Jeremy Stephens,King Green
Danny Silva,105,184,240,Kurtis Campbell,-125,-300,-230,2026-03-21,Danny Silva,Kurtis Campbell
Charles Jourdain,-150,-165,-136,Kyler Phillips,130,110,132,2026-04-19,Charles Jourdain,Kyler Phillips
Darrius Flowers,145,175,225,Lando Vannata,-170,-275,-225,2026-04-04,Darrius Flowers,Lando Vannata
Levan Chokheli,-255,-420,-350,Leon Shahbazyan,215,260,320,2026-06-20,Levan Chokheli,Leon Shahbazyan
Felipe Franco,-110,120,135,Levi Rodrigues,-110,-158,-150,2026-07-18,Felipe Franco,Levi Rodrigues Jr.
Jaqueline Amorim,-250,-150,-120,Loma Lookboonmee,210,-105,120,2026-05-30,Jaqueline Amorim,
Brando Pericic,145,-275,-210,Louie Sutherland,-170,180,210,2026-03-21,Brando Pericic,Louie Sutherland
Hecher Sosa,-200,-250,-180,Luan Lacerda,170,150,200,2026-03-14,Hecher Sosa,Luan Lacerda
Darmon Blackshear,-230,111,132,Luan Lacerda,195,-163,-131,2023-06-03,Hecher Sosa,Luan Lacerda
Rodolfo Bellato,105,175,190,Luke Fernandez,-125,-245,-220,2026-03-07,Rodolfo Bellato,Luke Fernandez
Kai Kamaka III,330,200,225,Luke Riley,-400,-265,-250,2026-07-11,Kai Kamaka III,Luke Riley
Michael Aswell,130,150,205,Luke Riley,-150,-250,-188,2026-03-21,Michael Aswell Jr.,Luke Riley
Yuki Angdembe,160,-105,135,Luke Riley,-200,-165,-125,2021-12-10,Kai Kamaka III,Luke Riley
Kamil Wincenciak,240,110,145,Luke Riley,-300,-188,-140,2021-10-01,Kai Kamaka III,Luke Riley
Bogdan Guskov,250,390,410,Magomed Ankalaev,-300,-560,-549,2026-07-25,Bogdan Guskov,Magomed Ankalaev
Brendson Ribeiro,420,500,700,Magomed Tuchalov,-550,-1250,-800,2026-07-25,Brendson Ribeiro,Magomed Tuchalov
Tursunbek Sodikov,300,900,900,Magomed Tuchalov,-450,-3333,-3333,2025-06-13,Brendson Ribeiro,Magomed Tuchalov
Damian Rzepecki,235,206,215,Magomed Zaynukov,-275,-286,-241,2026-07-25,Damian Rzepecki,Magomed Zaynukov
Juan Diaz,250,188,205,Malcolm Wellmaker,-300,-265,-225,2026-05-17,Juan Diaz,Malcolm Wellmaker
Jai Herbert,125,140,150,Mandel Nallo,-145,-180,-160,2026-04-19,Jai Herbert,Mandel Nallo
Kyoji Horiguchi,235,130,150,Manel Kape,-275,-175,-162,2026-06-21,Kyoji Horiguchi,
Kyoji Horiguchi,-990,-990,-990,Manel Kape,530,530,530,2017-12-31,Kyoji Horiguchi,
Yousri Belgaroui,-110,118,142,Mansur Abdul-Malik,-110,-164,-148,2026-03-29,Yousri Belgaroui,Mansur Abdul-Malik
Antonio Trocoli,300,490,750,Mantas Kondratavicius,-400,-1115,-750,2026-03-21,Antonio Trocoli,
Tyrell Fortune,140,-143,-122,Marcin Tybura,-160,-104,116,2026-03-28,Tyrell Fortune,Marcin Tybura
Ryan Spann,-110,110,136,Marcus Buchecha,-110,-162,-138,2026-04-25,Ryan Spann,Marcus Buchecha
John Yannis,350,260,390,Marcus McGhee,-450,-600,-350,2026-06-06,John Yannis,Marcus McGhee
Felipe Franco,250,500,800,Mario Pinto,-300,-1400,-800,2026-03-21,Felipe Franco,Mario Pinto
David Martinez,-150,-340,-275,Marlon Vera,130,210,265,2026-03-01,David Martinez,Marlon Vera
Ollie Schmid,600,475,525,Marwan Rahiki,-900,-800,-650,2026-05-02,Ollie Schmid,Marwan Rahiki
Harry Hardwick,170,210,260,Marwan Rahiki,-200,-320,-275,2026-03-14,Harry Hardwick,Marwan Rahiki
Axel Sola,185,110,152,Mason Jones,-220,-177,-138,2026-03-21,Axel Sola,Mason Jones
Esteban Ribovics,165,150,210,Mateusz Gamrot,-190,-260,-188,2026-04-11,Esteban Ribovics,Mateusz Gamrot
Alessandro Costa,-550,-500,-430,Matt Schnell,400,340,360,2026-06-06,Alessandro Costa,Matt Schnell
Hector Sandoval,-135,121,130,Matt Schnell,-105,-150,-141,2017-04-22,Alessandro Costa,Matt Schnell
Michael Chandler,500,340,400,Mauricio Ruffy,-700,-556,-475,2026-06-15,Michael Chandler,Mauricio Ruffy
Victor Valenzuela,-110,-150,-120,Max Griffin,-110,100,120,2026-04-25,Victor Valenzuela,Max Griffin
Charles Oliveira,130,155,175,Max Holloway,-150,-225,-190,2026-03-08,Charles Oliveira,Max Holloway
Charles Oliveira,125,210,215,Max Holloway,-165,-255,-245,2015-08-23,Charles Oliveira,Max Holloway
Michelle Montague,-400,-480,-400,Mayra Bueno Silva,330,300,360,2026-04-25,Michelle Montague,Mayra Bueno Silva
Daria Zhelezniakova,155,110,130,Melissa Croden,-180,-150,-138,2026-04-18,Daria Zhelezniakova,Melissa Croden
Murtazali Magomedov,-500,-600,-333,Melsik Baghdasaryan,385,250,430,2026-06-20,Murtazali Magomedov,
Niko Price,375,550,700,Michael Chiesa,-500,-1115,-901,2026-03-29,Niko Price,Michael Chiesa
Conor Cooke,400,400,400,John Michael Shiel,-600,-600,-600,2012-04-28,Niko Price,Michael Chiesa
Sam Patterson,135,144,190,Michael Page,-155,-230,-178,2026-03-21,Sam Patterson,Michael Page
Christian Edwards,210,215,275,Modestas Bukauskas,-250,-350,-290,2026-05-17,Christian Edwards,
Raoni Barcelos,186,150,180,Montel Jackson,-221,-225,-188,2026-04-25,Raoni Barcelos,Montel Jackson
Lerone Murphy,210,175,210,Movsar Evloev,-250,-275,-225,2026-03-21,Lerone Murphy,Movsar Evloev
Losene Keita,-150,-290,-245,Nathaniel Wood,130,194,235,2026-03-21,Losene Keita,Nathaniel Wood
Bruno Lopes,355,310,600,Navajo Stirling,-425,-900,-440,2026-03-28,Bruno Lopes,Navajo Stirling
Matheus Camilo,170,150,170,Nazim Sadykhov,-200,-205,-186,2026-06-27,Matheus Camilo,
Robert Whittaker,-104,-130,-125,Nikita Krylov,-116,100,110,2026-07-11,Robert Whittaker,Nikita Krylov
Khaos Williams,-150,-127,-110,Nikolay Veretennikov,130,-110,105,2026-05-16,Khaos Williams,Nikolay Veretennikov
Joselyne Edwards,-192,-400,-300,Nora Cornolle,167,245,300,2026-02-21,Joselyne Edwards,
Joselyne Edwards,-125,-136,-120,Nora Cornolle,-105,100,115,2023-09-02,Joselyne Edwards,
Joselyne Edwards,170,165,195,Norma Dumont,-200,-235,-205,2026-04-25,Joselyne Edwards,Norma Dumont
Andrey Pulyaev,190,143,175,Nursulton Ruziboev,-225,-225,-174,2026-06-27,Andrey Pulyaev,Nursulton Ruziboev
Mike Davis,147,175,193,Nurullo Aliev,-172,-235,-225,2026-07-25,Mike Davis,Nurullo Aliev
Alibi Idiris,-200,-145,-134,Ode Osbourne,170,108,122,2026-02-22,Alibi Idiris,Ode Osbourne
William Gomis,230,138,240,Pat Sabatini,-270,-340,-165,2026-05-09,William Gomis,Pat Sabatini
Jean-Paul Lebosnoyani,-250,-240,-205,Phil Rowe,210,163,200,2026-02-21,Jean-Paul Lebosnoyani,Phil Rowe
Sam Hughes,120,118,128,Piera Rodriguez,-140,-152,-140,2026-03-14,Sam Hughes,Piera Rodriguez
Sam Hughes,190,135,155,Piera Rodriguez,-230,-180,-167,2022-10-15,Sam Hughes,Piera Rodriguez
Chelsea Chandler,-110,-140,-125,Priscila Cachoeira,-110,100,118,2026-06-06,Chelsea Chandler,Priscila Cachoeira
Alexander Hernandez,-150,-125,-118,Rafa Garcia,130,-105,105,2026-04-25,Alexander Hernandez,Rafa Garcia
Manuel Torres,108,-113,-104,Rafael Fiziev,-141,-116,-108,2026-06-27,Manuel Torres,Rafael Fiziev
